measurement,region_id,timestamp,value,extra_data
Humidity.max,AB,2018-05-22,90.75000000000001,"{""rings"": 0}"
Humidity.max,AL,2018-05-22,70.5,"{""rings"": 1}"
Humidity.max,B,2018-05-22,73.55,"{""rings"": 1}"
Humidity.max,BA,2018-05-22,77.475,"{""rings"": 1}"
Humidity.max,BB,2018-05-22,69.69999999999999,"{""rings"": 1}"
Humidity.max,BD,2018-05-22,72.6,"{""rings"": 0}"
Humidity.max,BH,2018-05-22,77.9,"{""rings"": 0}"
Humidity.max,BL,2018-05-22,69.36666666666666,"{""rings"": 2}"
Humidity.max,BN,2018-05-22,69.65,"{""rings"": 0}"
Humidity.max,BR,2018-05-22,81.2,"{""rings"": 1}"
Humidity.max,BS,2018-05-22,69.725,"{""rings"": 1}"
Humidity.max,BT,2018-05-22,85.64444444444445,"{""rings"": 0}"
Humidity.max,CA,2018-05-22,83.7,"{""rings"": 0}"
Humidity.max,CB,2018-05-22,69.1,"{""rings"": 0}"
Humidity.max,CF,2018-05-22,74.78333333333335,"{""rings"": 1}"
Humidity.max,CH,2018-05-22,80.725,"{""rings"": 1}"
Humidity.max,CM,2018-05-22,80.76666666666667,"{""rings"": 1}"
Humidity.max,CO,2018-05-22,96.1,"{""rings"": 0}"
Humidity.max,CR,2018-05-22,81.2,"{""rings"": 1}"
Humidity.max,CT,2018-05-22,79.43333333333334,"{""rings"": 1}"
Humidity.max,CV,2018-05-22,67.28571428571429,"{""rings"": 1}"
Humidity.max,CW,2018-05-22,73.62,"{""rings"": 1}"
Humidity.max,DA,2018-05-22,79.43333333333334,"{""rings"": 1}"
Humidity.max,DD,2018-05-22,73.1,"{""rings"": 0}"
Humidity.max,DE,2018-05-22,73.55,"{""rings"": 0}"
Humidity.max,DG,2018-05-22,77.06666666666666,"{""rings"": 0}"
Humidity.max,DH,2018-05-22,95.69999999999999,"{""rings"": 1}"
Humidity.max,DL,2018-05-22,94.1,"{""rings"": 0}"
Humidity.max,DN,2018-05-22,88.74444444444444,"{""rings"": 1}"
Humidity.max,DT,2018-05-22,74.19999999999999,"{""rings"": 0}"
Humidity.max,DY,2018-05-22,75.83333333333333,"{""rings"": 1}"
Humidity.max,E,2018-05-22,77.1,"{""rings"": 2}"
Humidity.max,EC,2018-05-22,80.09999999999998,"{""rings"": 3}"
Humidity.max,EH,2018-05-22,81.16666666666667,"{""rings"": 0}"
Humidity.max,EN,2018-05-22,77.1,"{""rings"": 1}"
Humidity.max,EX,2018-05-22,84.9,"{""rings"": 0}"
Humidity.max,FK,2018-05-22,67.1,"{""rings"": 0}"
Humidity.max,FY,2018-05-22,66.8,"{""rings"": 1}"
