measurement,region_id,timestamp,value,extra_data
NO2_mean,AB,2017-08-08,32.0,"{""rings"": 0}"
NO2_mean,AL,2017-08-08,25.75,"{""rings"": 1}"
NO2_mean,B,2017-08-08,27.5,"{""rings"": 0}"
NO2_mean,BA,2017-08-08,29.0,"{""rings"": 0}"
NO2_mean,BB,2017-08-08,31.333333333333332,"{""rings"": 1}"
NO2_mean,BD,2017-08-08,51.0,"{""rings"": 0}"
NO2_mean,BH,2017-08-08,12.5,"{""rings"": 0}"
NO2_mean,BL,2017-08-08,22.428571428571427,"{""rings"": 1}"
NO2_mean,BN,2017-08-08,17.0,"{""rings"": 0}"
NO2_mean,BR,2017-08-08,28.333333333333332,"{""rings"": 1}"
NO2_mean,BS,2017-08-08,29.0,"{""rings"": 0}"
NO2_mean,BT,2017-08-08,19.166666666666668,"{""rings"": 0}"
NO2_mean,CA,2017-08-08,26.0,"{""rings"": 0}"
NO2_mean,CB,2017-08-08,4.0,"{""rings"": 0}"
NO2_mean,CF,2017-08-08,19.0,"{""rings"": 0}"
NO2_mean,CH,2017-08-08,20.0,"{""rings"": 0}"
NO2_mean,CM,2017-08-08,19.571428571428573,"{""rings"": 1}"
NO2_mean,CO,2017-08-08,10.0,"{""rings"": 0}"
NO2_mean,CR,2017-08-08,25.2,"{""rings"": 1}"
NO2_mean,CT,2017-08-08,19.0,"{""rings"": 0}"
NO2_mean,CV,2017-08-08,18.5,"{""rings"": 0}"
NO2_mean,CW,2017-08-08,25.25,"{""rings"": 1}"
NO2_mean,DA,2017-08-08,24.0,"{""rings"": 0}"
NO2_mean,DD,2017-08-08,26.25,"{""rings"": 1}"
NO2_mean,DE,2017-08-08,28.0,"{""rings"": 0}"
NO2_mean,DG,2017-08-08,16.0,"{""rings"": 0}"
NO2_mean,DH,2017-08-08,16.428571428571427,"{""rings"": 1}"
NO2_mean,DL,2017-08-08,22.77777777777778,"{""rings"": 1}"
NO2_mean,DN,2017-08-08,20.0,"{""rings"": 0}"
NO2_mean,DT,2017-08-08,21.166666666666668,"{""rings"": 1}"
NO2_mean,DY,2017-08-08,23.666666666666668,"{""rings"": 1}"
NO2_mean,E,2017-08-08,50.0,"{""rings"": 0}"
NO2_mean,EC,2017-08-08,32.333333333333336,"{""rings"": 1}"
NO2_mean,EH,2017-08-08,3.0,"{""rings"": 0}"
NO2_mean,EN,2017-08-08,34.142857142857146,"{""rings"": 1}"
NO2_mean,EX,2017-08-08,14.0,"{""rings"": 0}"
NO2_mean,FK,2017-08-08,15.0,"{""rings"": 0}"
NO2_mean,FY,2017-08-08,14.0,"{""rings"": 0}"
NO2_mean,G,2017-08-08,32.25,"{""rings"": 0}"
NO2_mean,GL,2017-08-08,21.1,"{""rings"": 1}"
NO2_mean,GU,2017-08-08,19.0,"{""rings"": 1}"
NO2_mean,GY,2017-08-08,,"{""rings"": 2}"
NO2_mean,HA,2017-08-08,31.8,"{""rings"": 1}"
NO2_mean,HD,2017-08-08,22.5,"{""rings"": 1}"
NO2_mean,HG,2017-08-08,29.4,"{""rings"": 1}"
NO2_mean,HP,2017-08-08,3.0,"{""rings"": 0}"
NO2_mean,HR,2017-08-08,5.0,"{""rings"": 0}"
NO2_mean,HS,2017-08-08,,"{""rings"": 2}"
NO2_mean,HU,2017-08-08,13.5,"{""rings"": 0}"
NO2_mean,HX,2017-08-08,37.5,"{""rings"": 1}"
NO2_mean,IG,2017-08-08,34.5,"{""rings"": 1}"
NO2_mean,IM,2017-08-08,,"{""rings"": 2}"
NO2_mean,IP,2017-08-08,9.666666666666666,"{""rings"": 1}"
NO2_mean,IV,2017-08-08,13.0,"{""rings"": 0}"
NO2_mean,JE,2017-08-08,,"{""rings"": 2}"
NO2_mean,KA,2017-08-08,26.857142857142858,"{""rings"": 1}"
NO2_mean,KT,2017-08-08,21.666666666666668,"{""rings"": 1}"
NO2_mean,KW,2017-08-08,13.0,"{""rings"": 1}"
NO2_mean,KY,2017-08-08,9.0,"{""rings"": 1}"
NO2_mean,L,2017-08-08,25.0,"{""rings"": 0}"
NO2_mean,LA,2017-08-08,27.5,"{""rings"": 1}"
NO2_mean,LD,2017-08-08,12.2,"{""rings"": 1}"
NO2_mean,LE,2017-08-08,24.0,"{""rings"": 0}"
NO2_mean,LL,2017-08-08,17.0,"{""rings"": 0}"
NO2_mean,LN,2017-08-08,43.0,"{""rings"": 0}"
NO2_mean,LS,2017-08-08,29.0,"{""rings"": 0}"
NO2_mean,LU,2017-08-08,53.0,"{""rings"": 0}"
NO2_mean,M,2017-08-08,24.75,"{""rings"": 0}"
NO2_mean,ME,2017-08-08,22.0,"{""rings"": 0}"
NO2_mean,MK,2017-08-08,23.428571428571427,"{""rings"": 1}"
NO2_mean,ML,2017-08-08,19.7,"{""rings"": 1}"
NO2_mean,N,2017-08-08,22.5,"{""rings"": 0}"
NO2_mean,NE,2017-08-08,30.0,"{""rings"": 0}"
NO2_mean,NG,2017-08-08,29.0,"{""rings"": 0}"
