measurement,region_id,timestamp,value,extra_data
O3_max,AB,2017-02-14,177.0,"{""rings"": 0}"
O3_max,AL,2017-02-14,116.0,"{""rings"": 1}"
O3_max,B,2017-02-14,108.0,"{""rings"": 0}"
O3_max,BA,2017-02-14,97.0,"{""rings"": 1}"
O3_max,BB,2017-02-14,135.0,"{""rings"": 1}"
O3_max,BD,2017-02-14,146.0,"{""rings"": 1}"
O3_max,BH,2017-02-14,124.0,"{""rings"": 0}"
O3_max,BL,2017-02-14,129.5,"{""rings"": 1}"
O3_max,BN,2017-02-14,127.0,"{""rings"": 0}"
O3_max,BR,2017-02-14,126.0,"{""rings"": 1}"
O3_max,BS,2017-02-14,97.0,"{""rings"": 0}"
O3_max,BT,2017-02-14,157.66666666666666,"{""rings"": 0}"
O3_max,CA,2017-02-14,155.5,"{""rings"": 1}"
O3_max,CB,2017-02-14,142.0,"{""rings"": 0}"
O3_max,CF,2017-02-14,13.0,"{""rings"": 0}"
O3_max,CH,2017-02-14,124.0,"{""rings"": 0}"
O3_max,CM,2017-02-14,134.5,"{""rings"": 1}"
O3_max,CO,2017-02-14,140.0,"{""rings"": 0}"
O3_max,CR,2017-02-14,126.0,"{""rings"": 1}"
O3_max,CT,2017-02-14,154.0,"{""rings"": 0}"
O3_max,CV,2017-02-14,131.5,"{""rings"": 0}"
O3_max,CW,2017-02-14,127.66666666666667,"{""rings"": 1}"
O3_max,DA,2017-02-14,129.0,"{""rings"": 1}"
O3_max,DD,2017-02-14,182.0,"{""rings"": 1}"
O3_max,DE,2017-02-14,125.33333333333333,"{""rings"": 1}"
O3_max,DG,2017-02-14,162.0,"{""rings"": 0}"
O3_max,DH,2017-02-14,149.33333333333334,"{""rings"": 1}"
O3_max,DL,2017-02-14,147.0,"{""rings"": 1}"
O3_max,DN,2017-02-14,131.4,"{""rings"": 1}"
O3_max,DT,2017-02-14,121.5,"{""rings"": 1}"
O3_max,DY,2017-02-14,110.0,"{""rings"": 1}"
O3_max,E,2017-02-14,121.0,"{""rings"": 1}"
O3_max,EC,2017-02-14,96.0,"{""rings"": 1}"
O3_max,EH,2017-02-14,171.25,"{""rings"": 0}"
O3_max,EN,2017-02-14,59.0,"{""rings"": 1}"
O3_max,EX,2017-02-14,119.0,"{""rings"": 0}"
O3_max,FK,2017-02-14,173.16666666666666,"{""rings"": 1}"
O3_max,FY,2017-02-14,136.0,"{""rings"": 0}"
O3_max,G,2017-02-14,167.0,"{""rings"": 0}"
O3_max,GL,2017-02-14,115.0,"{""rings"": 1}"
O3_max,GU,2017-02-14,126.25,"{""rings"": 1}"
O3_max,GY,2017-02-14,,"{""rings"": 2}"
O3_max,HA,2017-02-14,82.5,"{""rings"": 1}"
O3_max,HD,2017-02-14,128.33333333333334,"{""rings"": 1}"
O3_max,HG,2017-02-14,146.0,"{""rings"": 1}"
O3_max,HP,2017-02-14,116.0,"{""rings"": 0}"
