measurement,region_id,timestamp,value,extra_data
O3_mean,AB,2017-08-14,40.0,"{""rings"": 0}"
O3_mean,AL,2017-08-14,52.0,"{""rings"": 1}"
O3_mean,B,2017-08-14,34.0,"{""rings"": 0}"
O3_mean,BA,2017-08-14,36.0,"{""rings"": 1}"
O3_mean,BB,2017-08-14,40.0,"{""rings"": 1}"
O3_mean,BD,2017-08-14,30.0,"{""rings"": 1}"
O3_mean,BH,2017-08-14,57.0,"{""rings"": 0}"
O3_mean,BL,2017-08-14,36.25,"{""rings"": 1}"
O3_mean,BN,2017-08-14,65.0,"{""rings"": 0}"
O3_mean,BR,2017-08-14,51.0,"{""rings"": 1}"
O3_mean,BS,2017-08-14,36.0,"{""rings"": 0}"
O3_mean,BT,2017-08-14,40.666666666666664,"{""rings"": 0}"
O3_mean,CA,2017-08-14,40.5,"{""rings"": 1}"
O3_mean,CB,2017-08-14,59.0,"{""rings"": 0}"
O3_mean,CF,2017-08-14,42.0,"{""rings"": 0}"
O3_mean,CH,2017-08-14,43.0,"{""rings"": 0}"
O3_mean,CM,2017-08-14,56.25,"{""rings"": 1}"
O3_mean,CO,2017-08-14,54.0,"{""rings"": 0}"
O3_mean,CR,2017-08-14,51.0,"{""rings"": 1}"
O3_mean,CT,2017-08-14,48.0,"{""rings"": 0}"
O3_mean,CV,2017-08-14,36.5,"{""rings"": 0}"
O3_mean,CW,2017-08-14,42.0,"{""rings"": 1}"
O3_mean,DA,2017-08-14,52.0,"{""rings"": 1}"
O3_mean,DD,2017-08-14,35.0,"{""rings"": 1}"
O3_mean,DE,2017-08-14,40.25,"{""rings"": 1}"
O3_mean,DG,2017-08-14,46.0,"{""rings"": 0}"
O3_mean,DH,2017-08-14,44.666666666666664,"{""rings"": 1}"
O3_mean,DL,2017-08-14,45.666666666666664,"{""rings"": 1}"
O3_mean,DN,2017-08-14,43.5,"{""rings"": 1}"
O3_mean,DT,2017-08-14,41.5,"{""rings"": 1}"
O3_mean,DY,2017-08-14,37.0,"{""rings"": 1}"
O3_mean,E,2017-08-14,47.0,"{""rings"": 1}"
O3_mean,EC,2017-08-14,46.0,"{""rings"": 1}"
O3_mean,EH,2017-08-14,42.25,"{""rings"": 0}"
O3_mean,EN,2017-08-14,27.5,"{""rings"": 1}"
O3_mean,EX,2017-08-14,26.0,"{""rings"": 0}"
O3_mean,FK,2017-08-14,38.333333333333336,"{""rings"": 1}"
O3_mean,FY,2017-08-14,39.0,"{""rings"": 0}"
O3_mean,G,2017-08-14,31.0,"{""rings"": 0}"
O3_mean,GL,2017-08-14,38.8,"{""rings"": 1}"
O3_mean,GU,2017-08-14,43.4,"{""rings"": 1}"
O3_mean,GY,2017-08-14,,"{""rings"": 2}"
O3_mean,HA,2017-08-14,24.333333333333332,"{""rings"": 1}"
O3_mean,HD,2017-08-14,39.333333333333336,"{""rings"": 1}"
O3_mean,HG,2017-08-14,41.5,"{""rings"": 1}"
O3_mean,HP,2017-08-14,52.0,"{""rings"": 0}"
O3_mean,HR,2017-08-14,46.0,"{""rings"": 0}"
O3_mean,HS,2017-08-14,,"{""rings"": 2}"
O3_mean,HU,2017-08-14,50.0,"{""rings"": 0}"
O3_mean,HX,2017-08-14,36.714285714285715,"{""rings"": 2}"
O3_mean,IG,2017-08-14,52.0,"{""rings"": 1}"
O3_mean,IM,2017-08-14,,"{""rings"": 2}"
O3_mean,IP,2017-08-14,76.0,"{""rings"": 0}"
O3_mean,IV,2017-08-14,43.0,"{""rings"": 0}"
O3_mean,JE,2017-08-14,,"{""rings"": 2}"
O3_mean,KA,2017-08-14,38.5,"{""rings"": 1}"
O3_mean,KT,2017-08-14,41.44444444444444,"{""rings"": 2}"
O3_mean,KW,2017-08-14,43.0,"{""rings"": 1}"
O3_mean,KY,2017-08-14,39.8,"{""rings"": 1}"
O3_mean,L,2017-08-14,44.0,"{""rings"": 0}"
O3_mean,LA,2017-08-14,39.5,"{""rings"": 1}"
