measurement,region_id,timestamp,value,extra_data
PM2.5_max,AB,2018-11-17,26.0,"{""rings"": 0}"
PM2.5_max,AL,2018-11-17,29.0,"{""rings"": 1}"
PM2.5_max,B,2018-11-17,34.0,"{""rings"": 0}"
PM2.5_max,BA,2018-11-17,29.0,"{""rings"": 1}"
PM2.5_max,BB,2018-11-17,28.0,"{""rings"": 1}"
PM2.5_max,BD,2018-11-17,39.5,"{""rings"": 1}"
PM2.5_max,BH,2018-11-17,32.5,"{""rings"": 0}"
PM2.5_max,BL,2018-11-17,28.0,"{""rings"": 1}"
PM2.5_max,BN,2018-11-17,46.0,"{""rings"": 0}"
PM2.5_max,BR,2018-11-17,30.0,"{""rings"": 1}"
PM2.5_max,BS,2018-11-17,29.0,"{""rings"": 0}"
PM2.5_max,BT,2018-11-17,31.666666666666668,"{""rings"": 0}"
PM2.5_max,CA,2018-11-17,30.0,"{""rings"": 0}"
PM2.5_max,CB,2018-11-17,29.0,"{""rings"": 1}"
PM2.5_max,CF,2018-11-17,30.0,"{""rings"": 0}"
PM2.5_max,CH,2018-11-17,31.0,"{""rings"": 0}"
PM2.5_max,CM,2018-11-17,29.666666666666668,"{""rings"": 1}"
PM2.5_max,CO,2018-11-17,28.75,"{""rings"": 2}"
PM2.5_max,CR,2018-11-17,30.5,"{""rings"": 1}"
PM2.5_max,CT,2018-11-17,32.0,"{""rings"": 1}"
PM2.5_max,CV,2018-11-17,31.333333333333332,"{""rings"": 0}"
PM2.5_max,CW,2018-11-17,30.666666666666668,"{""rings"": 1}"
PM2.5_max,DA,2018-11-17,29.0,"{""rings"": 0}"
PM2.5_max,DD,2018-11-17,26.0,"{""rings"": 1}"
PM2.5_max,DE,2018-11-17,34.53846153846154,"{""rings"": 1}"
PM2.5_max,DG,2018-11-17,30.0,"{""rings"": 1}"
PM2.5_max,DH,2018-11-17,33.6,"{""rings"": 1}"
PM2.5_max,DL,2018-11-17,34.142857142857146,"{""rings"": 1}"
PM2.5_max,DN,2018-11-17,37.125,"{""rings"": 1}"
PM2.5_max,DT,2018-11-17,30.666666666666668,"{""rings"": 1}"
PM2.5_max,DY,2018-11-17,34.0,"{""rings"": 1}"
PM2.5_max,E,2018-11-17,31.0,"{""rings"": 1}"
PM2.5_max,EC,2018-11-17,31.0,"{""rings"": 1}"
PM2.5_max,EH,2018-11-17,25.5,"{""rings"": 0}"
PM2.5_max,EN,2018-11-17,33.333333333333336,"{""rings"": 1}"
PM2.5_max,EX,2018-11-17,27.0,"{""rings"": 0}"
PM2.5_max,FK,2018-11-17,30.0,"{""rings"": 0}"
PM2.5_max,FY,2018-11-17,33.0,"{""rings"": 0}"
PM2.5_max,G,2018-11-17,26.5,"{""rings"": 0}"
PM2.5_max,GL,2018-11-17,30.428571428571427,"{""rings"": 1}"
PM2.5_max,GU,2018-11-17,33.0,"{""rings"": 1}"
PM2.5_max,GY,2018-11-17,,"{""rings"": 2}"
PM2.5_max,HA,2018-11-17,31.75,"{""rings"": 1}"
PM2.5_max,HD,2018-11-17,40.25,"{""rings"": 1}"
PM2.5_max,HG,2018-11-17,38.0,"{""rings"": 1}"
PM2.5_max,HP,2018-11-17,30.0,"{""rings"": 1}"
PM2.5_max,HR,2018-11-17,29.0,"{""rings"": 1}"
PM2.5_max,HS,2018-11-17,,"{""rings"": 2}"
PM2.5_max,HU,2018-11-17,33.0,"{""rings"": 0}"
PM2.5_max,HX,2018-11-17,36.0,"{""rings"": 2}"
PM2.5_max,IG,2018-11-17,31.0,"{""rings"": 1}"
PM2.5_max,IM,2018-11-17,,"{""rings"": 2}"
PM2.5_max,IP,2018-11-17,26.0,"{""rings"": 1}"
PM2.5_max,IV,2018-11-17,35.0,"{""rings"": 0}"
PM2.5_max,JE,2018-11-17,,"{""rings"": 2}"
PM2.5_max,KA,2018-11-17,26.0,"{""rings"": 1}"
PM2.5_max,KT,2018-11-17,29.0,"{""rings"": 1}"
PM2.5_max,KW,2018-11-17,35.0,"{""rings"": 1}"
PM2.5_max,KY,2018-11-17,27.0,"{""rings"": 1}"
PM2.5_max,L,2018-11-17,33.0,"{""rings"": 0}"
PM2.5_max,LA,2018-11-17,30.333333333333332,"{""rings"": 1}"
PM2.5_max,LD,2018-11-17,25.0,"{""rings"": 1}"
PM2.5_max,LE,2018-11-17,31.0,"{""rings"": 0}"
PM2.5_max,LL,2018-11-17,56.0,"{""rings"": 0}"
