measurement,region_id,timestamp,value,extra_data
PM2.5_mean,AB,2018-11-05,23.0,"{""rings"": 0}"
PM2.5_mean,AL,2018-11-05,31.0,"{""rings"": 1}"
PM2.5_mean,B,2018-11-05,37.666666666666664,"{""rings"": 0}"
PM2.5_mean,BA,2018-11-05,28.0,"{""rings"": 1}"
PM2.5_mean,BB,2018-11-05,52.0,"{""rings"": 1}"
PM2.5_mean,BD,2018-11-05,70.5,"{""rings"": 1}"
PM2.5_mean,BH,2018-11-05,20.0,"{""rings"": 0}"
PM2.5_mean,BL,2018-11-05,42.0,"{""rings"": 1}"
PM2.5_mean,BN,2018-11-05,23.5,"{""rings"": 0}"
PM2.5_mean,BR,2018-11-05,38.5,"{""rings"": 1}"
PM2.5_mean,BS,2018-11-05,28.0,"{""rings"": 0}"
PM2.5_mean,BT,2018-11-05,12.666666666666666,"{""rings"": 0}"
PM2.5_mean,CA,2018-11-05,26.0,"{""rings"": 0}"
PM2.5_mean,CB,2018-11-05,31.0,"{""rings"": 1}"
PM2.5_mean,CF,2018-11-05,33.0,"{""rings"": 0}"
PM2.5_mean,CH,2018-11-05,49.0,"{""rings"": 0}"
PM2.5_mean,CM,2018-11-05,36.333333333333336,"{""rings"": 1}"
PM2.5_mean,CO,2018-11-05,33.75,"{""rings"": 2}"
PM2.5_mean,CR,2018-11-05,36.0,"{""rings"": 1}"
PM2.5_mean,CT,2018-11-05,36.0,"{""rings"": 1}"
PM2.5_mean,CV,2018-11-05,34.666666666666664,"{""rings"": 0}"
PM2.5_mean,CW,2018-11-05,44.0,"{""rings"": 1}"
PM2.5_mean,DA,2018-11-05,42.0,"{""rings"": 0}"
PM2.5_mean,DD,2018-11-05,23.0,"{""rings"": 1}"
PM2.5_mean,DE,2018-11-05,44.083333333333336,"{""rings"": 1}"
PM2.5_mean,DG,2018-11-05,26.0,"{""rings"": 1}"
PM2.5_mean,DH,2018-11-05,56.0,"{""rings"": 1}"
PM2.5_mean,DL,2018-11-05,49.333333333333336,"{""rings"": 1}"
PM2.5_mean,DN,2018-11-05,53.142857142857146,"{""rings"": 1}"
PM2.5_mean,DT,2018-11-05,19.0,"{""rings"": 1}"
PM2.5_mean,DY,2018-11-05,37.666666666666664,"{""rings"": 1}"
PM2.5_mean,E,2018-11-05,35.0,"{""rings"": 1}"
PM2.5_mean,EC,2018-11-05,37.0,"{""rings"": 1}"
PM2.5_mean,EH,2018-11-05,18.5,"{""rings"": 0}"
PM2.5_mean,EN,2018-11-05,39.0,"{""rings"": 1}"
PM2.5_mean,EX,2018-11-05,18.0,"{""rings"": 0}"
PM2.5_mean,FK,2018-11-05,26.0,"{""rings"": 0}"
PM2.5_mean,FY,2018-11-05,42.0,"{""rings"": 0}"
PM2.5_mean,G,2018-11-05,24.0,"{""rings"": 0}"
PM2.5_mean,GL,2018-11-05,32.0,"{""rings"": 1}"
PM2.5_mean,GU,2018-11-05,25.285714285714285,"{""rings"": 1}"
PM2.5_mean,GY,2018-11-05,,"{""rings"": 2}"
PM2.5_mean,HA,2018-11-05,37.5,"{""rings"": 1}"
PM2.5_mean,HD,2018-11-05,66.0,"{""rings"": 1}"
PM2.5_mean,HG,2018-11-05,60.0,"{""rings"": 1}"
PM2.5_mean,HP,2018-11-05,28.5,"{""rings"": 1}"
PM2.5_mean,HR,2018-11-05,32.5,"{""rings"": 1}"
PM2.5_mean,HS,2018-11-05,,"{""rings"": 2}"
PM2.5_mean,HU,2018-11-05,30.0,"{""rings"": 0}"
PM2.5_mean,HX,2018-11-05,58.125,"{""rings"": 2}"
PM2.5_mean,IG,2018-11-05,35.0,"{""rings"": 1}"
PM2.5_mean,IM,2018-11-05,,"{""rings"": 2}"
PM2.5_mean,IP,2018-11-05,26.0,"{""rings"": 1}"
PM2.5_mean,IV,2018-11-05,10.0,"{""rings"": 0}"
PM2.5_mean,JE,2018-11-05,,"{""rings"": 2}"
PM2.5_mean,KA,2018-11-05,22.666666666666668,"{""rings"": 1}"
PM2.5_mean,KT,2018-11-05,34.5,"{""rings"": 1}"
PM2.5_mean,KW,2018-11-05,10.0,"{""rings"": 1}"
PM2.5_mean,KY,2018-11-05,21.0,"{""rings"": 1}"
PM2.5_mean,L,2018-11-05,56.0,"{""rings"": 0}"
PM2.5_mean,LA,2018-11-05,40.0,"{""rings"": 1}"
PM2.5_mean,LD,2018-11-05,26.666666666666668,"{""rings"": 1}"
PM2.5_mean,LE,2018-11-05,32.0,"{""rings"": 0}"
PM2.5_mean,LL,2018-11-05,35.0,"{""rings"": 0}"
PM2.5_mean,LN,2018-11-05,45.0,"{""rings"": 1}"
PM2.5_mean,LS,2018-11-05,70.5,"{""rings"": 0}"
PM2.5_mean,LU,2018-11-05,31.0,"{""rings"": 1}"
PM2.5_mean,M,2018-11-05,37.0,"{""rings"": 0}"
PM2.5_mean,ME,2018-11-05,36.0,"{""rings"": 0}"
PM2.5_mean,MK,2018-11-05,31.0,"{""rings"": 1}"
PM2.5_mean,ML,2018-11-05,22.2,"{""rings"": 1}"
PM2.5_mean,N,2018-11-05,41.666666666666664,"{""rings"": 1}"
PM2.5_mean,NE,2018-11-05,47.0,"{""rings"": 0}"
PM2.5_mean,NG,2018-11-05,45.0,"{""rings"": 0}"
PM2.5_mean,NN,2018-11-05,35.0,"{""rings"": 0}"
PM2.5_mean,NP,2018-11-05,32.5,"{""rings"": 0}"
PM2.5_mean,NR,2018-11-05,26.0,"{""rings"": 0}"
PM2.5_mean,NW,2018-11-05,43.0,"{""rings"": 0}"
PM2.5_mean,OL,2018-11-05,37.0,"{""rings"": 1}"
PM2.5_mean,OX,2018-11-05,27.0,"{""rings"": 0}"
PM2.5_mean,PA,2018-11-05,20.0,"{""rings"": 0}"
PM2.5_mean,PE,2018-11-05,33.8,"{""rings"": 1}"
PM2.5_mean,PH,2018-11-05,19.75,"{""rings"": 1}"
PM2.5_mean,PL,2018-11-05,19.5,"{""rings"": 0}"
PM2.5_mean,PO,2018-11-05,23.0,"{""rings"": 0}"
PM2.5_mean,PR,2018-11-05,52.0,"{""rings"": 0}"
PM2.5_mean,RG,2018-11-05,30.0,"{""rings"": 0}"
PM2.5_mean,RH,2018-11-05,23.5,"{""rings"": 1}"
PM2.5_mean,RM,2018-11-05,37.833333333333336,"{""rings"": 1}"
PM2.5_mean,S,2018-11-05,66.0,"{""rings"": 0}"
PM2.5_mean,SA,2018-11-05,20.666666666666668,"{""rings"": 0}"
PM2.5_mean,SE,2018-11-05,35.0,"{""rings"": 0}"
PM2.5_mean,SG,2018-11-05,31.0,"{""rings"": 0}"
PM2.5_mean,SK,2018-11-05,50.714285714285715,"{""rings"": 1}"
PM2.5_mean,SL,2018-11-05,31.333333333333332,"{""rings"": 1}"
PM2.5_mean,SM,2018-11-05,37.0,"{""rings"": 1}"
PM2.5_mean,SN,2018-11-05,28.333333333333332,"{""rings"": 1}"
PM2.5_mean,SO,2018-11-05,22.5,"{""rings"": 0}"
PM2.5_mean,SP,2018-11-05,23.75,"{""rings"": 1}"
