measurement,region_id,timestamp,value,extra_data
SO2_max,AB,2018-07-19,3.0,"{""rings"": 2}"
SO2_max,AL,2018-07-19,3.5,"{""rings"": 2}"
SO2_max,B,2018-07-19,55.333333333333336,"{""rings"": 2}"
SO2_max,BA,2018-07-19,16.0,"{""rings"": 0}"
SO2_max,BB,2018-07-19,93.33333333333333,"{""rings"": 2}"
SO2_max,BD,2018-07-19,119.0,"{""rings"": 1}"
SO2_max,BH,2018-07-19,53.0,"{""rings"": 1}"
SO2_max,BL,2018-07-19,86.0,"{""rings"": 1}"
SO2_max,BN,2018-07-19,108.0,"{""rings"": 0}"
SO2_max,BR,2018-07-19,73.75,"{""rings"": 2}"
SO2_max,BS,2018-07-19,26.0,"{""rings"": 1}"
SO2_max,BT,2018-07-19,51.0,"{""rings"": 0}"
SO2_max,CA,2018-07-19,58.5,"{""rings"": 2}"
SO2_max,CB,2018-07-19,3.0,"{""rings"": 0}"
SO2_max,CF,2018-07-19,53.0,"{""rings"": 0}"
SO2_max,CH,2018-07-19,75.0,"{""rings"": 1}"
SO2_max,CM,2018-07-19,50.0,"{""rings"": 1}"
SO2_max,CO,2018-07-19,3.0,"{""rings"": 1}"
SO2_max,CR,2018-07-19,69.6,"{""rings"": 2}"
SO2_max,CT,2018-07-19,4.0,"{""rings"": 1}"
SO2_max,CV,2018-07-19,55.333333333333336,"{""rings"": 2}"
SO2_max,CW,2018-07-19,67.66666666666667,"{""rings"": 2}"
SO2_max,DA,2018-07-19,50.5,"{""rings"": 1}"
SO2_max,DD,2018-07-19,33.5,"{""rings"": 2}"
SO2_max,DE,2018-07-19,55.333333333333336,"{""rings"": 1}"
SO2_max,DG,2018-07-19,33.5,"{""rings"": 2}"
SO2_max,DH,2018-07-19,53.0,"{""rings"": 1}"
SO2_max,DL,2018-07-19,53.0,"{""rings"": 1}"
SO2_max,DN,2018-07-19,54.0,"{""rings"": 0}"
SO2_max,DT,2018-07-19,26.0,"{""rings"": 1}"
SO2_max,DY,2018-07-19,69.5,"{""rings"": 2}"
SO2_max,E,2018-07-19,62.333333333333336,"{""rings"": 2}"
SO2_max,EC,2018-07-19,86.0,"{""rings"": 1}"
SO2_max,EH,2018-07-19,64.0,"{""rings"": 0}"
SO2_max,EN,2018-07-19,4.0,"{""rings"": 1}"
SO2_max,EX,2018-07-19,36.0,"{""rings"": 1}"
SO2_max,FK,2018-07-19,3.0,"{""rings"": 0}"
SO2_max,FY,2018-07-19,75.0,"{""rings"": 2}"
SO2_max,G,2018-07-19,3.0,"{""rings"": 1}"
SO2_max,GL,2018-07-19,35.0,"{""rings"": 2}"
SO2_max,GU,2018-07-19,80.5,"{""rings"": 1}"
SO2_max,GY,2018-07-19,,"{""rings"": 2}"
SO2_max,HA,2018-07-19,28.5,"{""rings"": 1}"
SO2_max,HD,2018-07-19,53.0,"{""rings"": 1}"
SO2_max,HG,2018-07-19,119.0,"{""rings"": 1}"
SO2_max,HP,2018-07-19,28.5,"{""rings"": 2}"
SO2_max,HR,2018-07-19,64.0,"{""rings"": 2}"
SO2_max,HS,2018-07-19,,"{""rings"": 2}"
SO2_max,HU,2018-07-19,75.0,"{""rings"": 0}"
SO2_max,HX,2018-07-19,77.75,"{""rings"": 2}"
SO2_max,IG,2018-07-19,97.0,"{""rings"": 1}"
SO2_max,IM,2018-07-19,,"{""rings"": 2}"
SO2_max,IP,2018-07-19,3.0,"{""rings"": 1}"
SO2_max,IV,2018-07-19,3.0,"{""rings"": 2}"
SO2_max,JE,2018-07-19,,"{""rings"": 2}"
SO2_max,KA,2018-07-19,33.5,"{""rings"": 2}"
SO2_max,KT,2018-07-19,75.0,"{""rings"": 2}"
SO2_max,KW,2018-07-19,3.0,"{""rings"": 3}"
SO2_max,KY,2018-07-19,33.5,"{""rings"": 1}"
SO2_max,L,2018-07-19,75.0,"{""rings"": 0}"
SO2_max,LA,2018-07-19,82.33333333333333,"{""rings"": 2}"
SO2_max,LD,2018-07-19,64.0,"{""rings"": 1}"
SO2_max,LE,2018-07-19,60.0,"{""rings"": 1}"
SO2_max,LL,2018-07-19,71.33333333333333,"{""rings"": 2}"
SO2_max,LN,2018-07-19,57.0,"{""rings"": 1}"
SO2_max,LS,2018-07-19,119.0,"{""rings"": 0}"
SO2_max,LU,2018-07-19,3.0,"{""rings"": 2}"
SO2_max,M,2018-07-19,86.0,"{""rings"": 0}"
SO2_max,ME,2018-07-19,4.0,"{""rings"": 0}"
SO2_max,MK,2018-07-19,31.5,"{""rings"": 2}"
SO2_max,ML,2018-07-19,33.5,"{""rings"": 1}"
SO2_max,N,2018-07-19,45.0,"{""rings"": 1}"
SO2_max,NE,2018-07-19,58.5,"{""rings"": 2}"
SO2_max,NG,2018-07-19,60.0,"{""rings"": 0}"
SO2_max,NN,2018-07-19,31.5,"{""rings"": 2}"
SO2_max,NP,2018-07-19,53.0,"{""rings"": 1}"
SO2_max,NR,2018-07-19,31.5,"{""rings"": 2}"
SO2_max,NW,2018-07-19,4.0,"{""rings"": 0}"
SO2_max,OL,2018-07-19,86.0,"{""rings"": 1}"
SO2_max,OX,2018-07-19,34.5,"{""rings"": 2}"
SO2_max,PA,2018-07-19,3.0,"{""rings"": 1}"
SO2_max,PE,2018-07-19,31.5,"{""rings"": 1}"
SO2_max,PH,2018-07-19,3.0,"{""rings"": 1}"
SO2_max,PL,2018-07-19,36.0,"{""rings"": 2}"
SO2_max,PO,2018-07-19,80.5,"{""rings"": 1}"
SO2_max,PR,2018-07-19,75.0,"{""rings"": 1}"
SO2_max,RG,2018-07-19,53.0,"{""rings"": 1}"
SO2_max,RH,2018-07-19,108.0,"{""rings"": 1}"
SO2_max,RM,2018-07-19,97.0,"{""rings"": 0}"
SO2_max,S,2018-07-19,53.0,"{""rings"": 0}"
SO2_max,SA,2018-07-19,69.5,"{""rings"": 0}"
SO2_max,SE,2018-07-19,91.5,"{""rings"": 1}"
SO2_max,SG,2018-07-19,3.0,"{""rings"": 1}"
SO2_max,SK,2018-07-19,64.0,"{""rings"": 1}"
SO2_max,SL,2018-07-19,54.5,"{""rings"": 2}"
SO2_max,SM,2018-07-19,69.5,"{""rings"": 2}"
SO2_max,SN,2018-07-19,16.0,"{""rings"": 1}"
SO2_max,SO,2018-07-19,53.0,"{""rings"": 0}"
SO2_max,SP,2018-07-19,34.5,"{""rings"": 1}"
SO2_max,SR,2018-07-19,53.0,"{""rings"": 1}"
SO2_max,SS,2018-07-19,50.5,"{""rings"": 1}"
SO2_max,ST,2018-07-19,63.0,"{""rings"": 2}"
SO2_max,SW,2018-07-19,69.5,"{""rings"": 1}"
SO2_max,SY,2018-07-19,69.5,"{""rings"": 1}"
SO2_max,TA,2018-07-19,36.0,"{""rings"": 0}"
SO2_max,TD,2018-07-19,64.0,"{""rings"": 1}"
SO2_max,TF,2018-07-19,69.5,"{""rings"": 2}"
SO2_max,TN,2018-07-19,56.0,"{""rings"": 1}"
SO2_max,TQ,2018-07-19,36.0,"{""rings"": 2}"
SO2_max,TR,2018-07-19,36.0,"{""rings"": 3}"
SO2_max,TS,2018-07-19,53.0,"{""rings"": 0}"
SO2_max,TW,2018-07-19,53.0,"{""rings"": 1}"
SO2_max,UB,2018-07-19,53.0,"{""rings"": 1}"
SO2_max,W,2018-07-19,53.0,"{""rings"": 0}"
SO2_max,WA,2018-07-19,80.5,"{""rings"": 1}"
SO2_max,WC,2018-07-19,86.0,"{""rings"": 0}"
SO2_max,WD,2018-07-19,4.0,"{""rings"": 1}"
SO2_max,WF,2018-07-19,69.75,"{""rings"": 1}"
SO2_max,WN,2018-07-19,80.5,"{""rings"": 1}"
SO2_max,WR,2018-07-19,69.5,"{""rings"": 2}"
SO2_max,WS,2018-07-19,55.333333333333336,"{""rings"": 2}"
SO2_max,WV,2018-07-19,69.5,"{""rings"": 2}"
SO2_max,YO,2018-07-19,75.25,"{""rings"": 1}"
SO2_max,ZE,2018-07-19,,"{""rings"": 2}"
