region_id,timestamp,val_Daily.rain,extra_rings_Daily.rain
AB,2017-01-01,5.825,0
AL,2017-01-01,1.4,1
B,2017-01-01,2.8,1
BA,2017-01-01,0.8200000000000001,1
BB,2017-01-01,9.05,1
BD,2017-01-01,9.1,0
BH,2017-01-01,1.3666666666666665,0
BL,2017-01-01,7.399999999999999,2
BN,2017-01-01,0.7,0
BR,2017-01-01,0.3,1
BS,2017-01-01,3.3,0
BT,2017-01-01,6.533333333333332,0
CA,2017-01-01,12.833333333333336,0
CB,2017-01-01,0.2,0
CF,2017-01-01,8.700000000000001,1
CH,2017-01-01,11.5,1
CM,2017-01-01,0.7999999999999999,1
CO,2017-01-01,0.2,1
CR,2017-01-01,0.2333333333333333,1
CT,2017-01-01,0.3,1
CV,2017-01-01,0.9399999999999998,1
CW,2017-01-01,6.38,1
DA,2017-01-01,0.3,1
DD,2017-01-01,5.75,1
DE,2017-01-01,2.8,0
DG,2017-01-01,5.0,0
DH,2017-01-01,11.95,1
DL,2017-01-01,13.3,0
DN,2017-01-01,7.185714285714285,1
DT,2017-01-01,0.6000000000000001,0
DY,2017-01-01,7.15,1
E,2017-01-01,1.4,2
EC,2017-01-01,0.4571428571428571,3
EH,2017-01-01,4.1,0
EN,2017-01-01,1.4,1
EX,2017-01-01,1.55,0
FK,2017-01-01,2.5,0
FY,2017-01-01,9.0,1
G,2017-01-01,8.2,0
GL,2017-01-01,1.0,0
GU,2017-01-01,0.94,1
GY,2017-01-01,,2
HA,2017-01-01,0.4,1
HD,2017-01-01,6.666666666666668,1
HG,2017-01-01,13.0,0
HP,2017-01-01,0.3,1
HR,2017-01-01,4.2,0
HS,2017-01-01,,2
HU,2017-01-01,8.375,1
HX,2017-01-01,9.1,1
IG,2017-01-01,0.6333333333333333,2
IM,2017-01-01,,2
IP,2017-01-01,0.7333333333333334,1
IV,2017-01-01,9.585714285714284,0
JE,2017-01-01,,2
KA,2017-01-01,2.5,0
KT,2017-01-01,0.25,1
KW,2017-01-01,2.3,0
KY,2017-01-01,5.0,0
L,2017-01-01,10.51,2
LA,2017-01-01,9.0,0
LD,2017-01-01,7.649999999999999,0
LE,2017-01-01,2.8,1
LL,2017-01-01,13.239999999999998,0
LN,2017-01-01,5.0,0
LS,2017-01-01,9.266666666666667,1
LU,2017-01-01,1.4,1
M,2017-01-01,4.1,1
ME,2017-01-01,0.3,0
MK,2017-01-01,0.575,1
ML,2017-01-01,8.8,0
N,2017-01-01,1.4,2
NE,2017-01-01,9.290909090909091,1
NG,2017-01-01,4.9,1
NN,2017-01-01,0.3,1
NP,2017-01-01,4.76,1
NR,2017-01-01,1.0,0
NW,2017-01-01,0.7333333333333334,2
OL,2017-01-01,4.1,1
OX,2017-01-01,0.3,0
PA,2017-01-01,14.566666666666665,0
PE,2017-01-01,2.2666666666666666,1
PH,2017-01-01,5.9,0
PL,2017-01-01,6.8,0
PO,2017-01-01,1.7,0
PR,2017-01-01,9.0,1
RG,2017-01-01,0.3,0
RH,2017-01-01,0.1,0
RM,2017-01-01,0.3,1
S,2017-01-01,6.8,0
SA,2017-01-01,9.225,0
SE,2017-01-01,0.28,2
SG,2017-01-01,1.4,0
SK,2017-01-01,4.1,0
SL,2017-01-01,0.3666666666666667,1
SM,2017-01-01,0.275,2
SN,2017-01-01,0.8,0
SO,2017-01-01,0.4,0
SP,2017-01-01,0.55,0
SR,2017-01-01,10.6,1
SS,2017-01-01,0.3,1
ST,2017-01-01,2.0,0
SW,2017-01-01,0.4,1
SY,2017-01-01,8.6,0
TA,2017-01-01,0.35,0
TD,2017-01-01,2.975,0
TF,2017-01-01,6.119999999999999,1
TN,2017-01-01,0.3,0
TQ,2017-01-01,0.8,0
TR,2017-01-01,6.8,1
TS,2017-01-01,10.6,0
TW,2017-01-01,0.4,0
UB,2017-01-01,0.4,0
W,2017-01-01,0.4,1
WA,2017-01-01,4.1,1
WC,2017-01-01,0.4,2
WD,2017-01-01,0.4,1
WF,2017-01-01,8.233333333333333,1
WN,2017-01-01,6.55,2
WR,2017-01-01,6.2,1
WS,2017-01-01,2.533333333333333,1
WV,2017-01-01,2.8,0
YO,2017-01-01,8.375,0
ZE,2017-01-01,,2
AB,2017-01-02,3.125,0
AL,2017-01-02,6.0,1
B,2017-01-02,3.7,1
BA,2017-01-02,8.94,1
BB,2017-01-02,0.05,1
BD,2017-01-02,0.1,0
BH,2017-01-02,12.4,0
BL,2017-01-02,0.26666666666666666,2
BN,2017-01-02,15.75,0
BR,2017-01-02,12.45,1
BS,2017-01-02,9.8,0
BT,2017-01-02,0.022222222222222227,0
CA,2017-01-02,0.95,0
CB,2017-01-02,7.5,0
CF,2017-01-02,1.9833333333333327,1
CH,2017-01-02,1.0888888888888888,1
CM,2017-01-02,6.75,1
CO,2017-01-02,7.5,1
CR,2017-01-02,12.45,1
CT,2017-01-02,10.133333333333333,1
CV,2017-01-02,6.5200000000000005,1
CW,2017-01-02,1.7666666666666664,1
DA,2017-01-02,10.133333333333333,1
DD,2017-01-02,2.1700000000000004,1
DE,2017-01-02,3.7,0
DG,2017-01-02,0.05,0
DH,2017-01-02,3.45,1
DL,2017-01-02,2.7,0
DN,2017-01-02,3.6142857142857134,1
DT,2017-01-02,10.65,0
DY,2017-01-02,2.46,1
E,2017-01-02,6.0,2
EC,2017-01-02,7.8,3
EH,2017-01-02,0.5,0
EN,2017-01-02,6.0,1
EX,2017-01-02,4.8,0
FK,2017-01-02,0.2,0
FY,2017-01-02,0.0,1
G,2017-01-02,0.0,0
GL,2017-01-02,3.0,0
GU,2017-01-02,13.422222222222226,1
GY,2017-01-02,,2
HA,2017-01-02,5.0,1
HD,2017-01-02,1.5666666666666664,1
HG,2017-01-02,1.9,0
HP,2017-01-02,8.275,1
HR,2017-01-02,5.8,0
HS,2017-01-02,,2
HU,2017-01-02,2.0,1
HX,2017-01-02,0.1,1
IG,2017-01-02,6.333333333333332,2
IM,2017-01-02,,2
IP,2017-01-02,6.8500000000000005,1
IV,2017-01-02,2.6,0
JE,2017-01-02,,2
KA,2017-01-02,0.0,0
KT,2017-01-02,5.4,1
KW,2017-01-02,2.2,0
KY,2017-01-02,0.0,0
L,2017-01-02,0.9545454545454544,2
LA,2017-01-02,0.0,0
LD,2017-01-02,5.05,0
LE,2017-01-02,5.550000000000002,1
LL,2017-01-02,0.4,0
LN,2017-01-02,6.7,0
LS,2017-01-02,1.6666666666666667,1
LU,2017-01-02,6.0,1
M,2017-01-02,0.7,1
ME,2017-01-02,5.5,0
MK,2017-01-02,7.8599999999999985,1
ML,2017-01-02,0.0,0
N,2017-01-02,6.0,2
NE,2017-01-02,1.7272727272727273,1
NG,2017-01-02,5.6800000000000015,1
