region_id,timestamp,val_NO2_max,extra_rings_NO2_max
AB,2017-01-01,227.0,0
AL,2017-01-01,210.0,1
B,2017-01-01,198.33333333333331,0
BA,2017-01-01,233.0,1
BB,2017-01-01,193.0,0
BD,2017-01-01,224.0,0
BH,2017-01-01,137.0,0
BL,2017-01-01,210.625,1
BN,2017-01-01,89.0,0
BR,2017-01-01,117.66666666666669,1
BS,2017-01-01,205.0,0
BT,2017-01-01,143.6,0
CA,2017-01-01,200.0,0
CB,2017-01-01,14.0,0
CF,2017-01-01,25.0,0
CH,2017-01-01,157.0,0
CM,2017-01-01,126.57142857142857,1
CO,2017-01-01,164.0,0
CR,2017-01-01,164.0,1
CT,2017-01-01,91.0,0
CV,2017-01-01,180.0,0
CW,2017-01-01,182.625,1
DA,2017-01-01,58.0,0
DD,2017-01-01,198.75,1
DE,2017-01-01,163.86363636363637,1
DG,2017-01-01,204.5,0
DH,2017-01-01,128.75,1
DL,2017-01-01,167.0909090909091,1
DN,2017-01-01,124.5,0
DT,2017-01-01,200.4,1
DY,2017-01-01,178.4,1
E,2017-01-01,235.0,0
EC,2017-01-01,197.0,1
EH,2017-01-01,166.0,0
EN,2017-01-01,192.0,1
EX,2017-01-01,233.5,0
FK,2017-01-01,204.5,0
FY,2017-01-01,267.0,0
G,2017-01-01,212.8,0
GL,2017-01-01,168.44444444444446,1
GU,2017-01-01,142.63636363636363,1
GY,2017-01-01,,2
HA,2017-01-01,192.8,1
HD,2017-01-01,159.11111111111111,1
HG,2017-01-01,172.66666666666663,1
HP,2017-01-01,245.0,0
HR,2017-01-01,173.33333333333337,1
HS,2017-01-01,,2
HU,2017-01-01,198.0,0
HX,2017-01-01,201.66666666666663,1
IG,2017-01-01,161.0,1
IM,2017-01-01,,2
IP,2017-01-01,89.66666666666669,1
IV,2017-01-01,220.0,0
JE,2017-01-01,,2
KA,2017-01-01,210.42857142857144,1
KT,2017-01-01,180.5,1
KW,2017-01-01,220.0,1
KY,2017-01-01,170.16666666666666,1
L,2017-01-01,177.0,0
LA,2017-01-01,224.0,1
LD,2017-01-01,102.57142857142857,1
LE,2017-01-01,118.66666666666669,0
LL,2017-01-01,157.0,1
LN,2017-01-01,238.0,0
LS,2017-01-01,167.0,0
LU,2017-01-01,206.0,0
M,2017-01-01,217.5,0
ME,2017-01-01,172.0,0
MK,2017-01-01,156.28571428571428,1
ML,2017-01-01,198.33333333333331,1
N,2017-01-01,220.5,0
NE,2017-01-01,113.0,0
NG,2017-01-01,176.0,0
NN,2017-01-01,3.0,0
NP,2017-01-01,173.33333333333337,0
NR,2017-01-01,91.0,0
NW,2017-01-01,139.5,0
OL,2017-01-01,188.0,0
OX,2017-01-01,125.5,0
PA,2017-01-01,198.375,1
PE,2017-01-01,131.1818181818182,1
PH,2017-01-01,114.0,0
PL,2017-01-01,102.0,0
PO,2017-01-01,211.0,0
PR,2017-01-01,236.0,0
RG,2017-01-01,200.5,0
RH,2017-01-01,180.5,0
RM,2017-01-01,114.0,0
S,2017-01-01,145.71428571428572,0
SA,2017-01-01,57.66666666666666,0
SE,2017-01-01,147.5,0
SG,2017-01-01,194.5,0
SK,2017-01-01,179.16666666666663,1
SL,2017-01-01,225.0,1
SM,2017-01-01,178.83333333333337,2
SN,2017-01-01,171.4,1
SO,2017-01-01,120.0,0
SP,2017-01-01,152.5,1
SR,2017-01-01,47.0,0
SS,2017-01-01,102.5,0
ST,2017-01-01,222.5,0
SW,2017-01-01,178.0,1
SY,2017-01-01,97.4,1
TA,2017-01-01,261.0,0
TD,2017-01-01,166.625,1
TF,2017-01-01,222.5,1
TN,2017-01-01,115.33333333333331,1
TQ,2017-01-01,256.0,0
TR,2017-01-01,102.0,1
TS,2017-01-01,177.5,0
TW,2017-01-01,228.33333333333331,1
UB,2017-01-01,239.5,0
W,2017-01-01,206.0,0
WA,2017-01-01,175.5,0
WC,2017-01-01,211.0,0
WD,2017-01-01,200.6,1
WF,2017-01-01,153.66666666666666,1
WN,2017-01-01,198.0,0
WR,2017-01-01,189.16666666666663,1
WS,2017-01-01,148.5,0
WV,2017-01-01,185.5,1
YO,2017-01-01,159.33333333333334,0
ZE,2017-01-01,,2
AB,2017-01-02,178.0,0
AL,2017-01-02,188.5,1
B,2017-01-02,255.66666666666663,0
BA,2017-01-02,132.5,1
BB,2017-01-02,249.0,0
BD,2017-01-02,236.0,0
BH,2017-01-02,227.5,0
BL,2017-01-02,258.375,1
BN,2017-01-02,164.25,0
BR,2017-01-02,237.66666666666663,1
BS,2017-01-02,19.0,0
BT,2017-01-02,187.8,0
CA,2017-01-02,237.0,0
CB,2017-01-02,164.0,0
CF,2017-01-02,222.0,0
CH,2017-01-02,258.5,0
CM,2017-01-02,218.28571428571428,1
CO,2017-01-02,164.0,0
CR,2017-01-02,245.0,1
CT,2017-01-02,222.0,0
CV,2017-01-02,183.0,0
CW,2017-01-02,163.0,1
DA,2017-01-02,215.0,0
DD,2017-01-02,180.5,1
DE,2017-01-02,220.77272727272728,1
DG,2017-01-02,171.5,0
DH,2017-01-02,170.0,1
DL,2017-01-02,205.45454545454547,1
DN,2017-01-02,220.0,0
DT,2017-01-02,236.4,1
DY,2017-01-02,250.4,1
E,2017-01-02,268.0,0
EC,2017-01-02,246.33333333333331,1
EH,2017-01-02,206.33333333333331,0
EN,2017-01-02,180.7142857142857,1
EX,2017-01-02,240.5,0
FK,2017-01-02,207.5,0
FY,2017-01-02,213.0,0
G,2017-01-02,203.0,0
GL,2017-01-02,176.22222222222226,1
GU,2017-01-02,207.0909090909091,1
GY,2017-01-02,,2
HA,2017-01-02,156.0,1
HD,2017-01-02,230.88888888888889,1
HG,2017-01-02,221.5,1
HP,2017-01-02,245.0,0
HR,2017-01-02,186.33333333333331,1
HS,2017-01-02,,2
HU,2017-01-02,211.0,0
HX,2017-01-02,252.33333333333331,1
IG,2017-01-02,251.25,1
IM,2017-01-02,,2
IP,2017-01-02,177.0,1
IV,2017-01-02,219.0,0
JE,2017-01-02,,2
KA,2017-01-02,194.0,1
KT,2017-01-02,241.0,1
KW,2017-01-02,219.0,1
KY,2017-01-02,203.66666666666663,1
L,2017-01-02,252.0,0
LA,2017-01-02,238.8,1
LD,2017-01-02,213.7142857142857,1
LE,2017-01-02,221.33333333333331,0
LL,2017-01-02,258.5,1
LN,2017-01-02,266.0,0
LS,2017-01-02,208.0,0
LU,2017-01-02,15.0,0
M,2017-01-02,264.75,0
ME,2017-01-02,235.0,0
MK,2017-01-02,202.28571428571428,1
ML,2017-01-02,199.33333333333331,1
N,2017-01-02,243.5,0
NE,2017-01-02,199.0,0
NG,2017-01-02,257.5,0
NN,2017-01-02,203.0,0
NP,2017-01-02,186.33333333333331,0
NR,2017-01-02,203.0,0
NW,2017-01-02,8.0,0
OL,2017-01-02,272.0,0
