region_id,timestamp,val_NO2_mean,extra_rings_NO2_mean
AB,2017-01-01,14.666666666666664,0
AL,2017-01-01,13.5,1
B,2017-01-01,19.0,0
BA,2017-01-01,24.0,0
BB,2017-01-01,17.0,0
BD,2017-01-01,29.0,0
BH,2017-01-01,8.0,0
BL,2017-01-01,17.0,1
BN,2017-01-01,11.25,0
BR,2017-01-01,15.333333333333336,1
BS,2017-01-01,18.0,0
BT,2017-01-01,8.4,0
CA,2017-01-01,16.0,0
CB,2017-01-01,5.0,0
CF,2017-01-01,7.0,0
CH,2017-01-01,13.0,0
CM,2017-01-01,11.714285714285715,1
CO,2017-01-01,14.0,0
CR,2017-01-01,18.75,1
CT,2017-01-01,9.0,0
CV,2017-01-01,12.666666666666664,0
CW,2017-01-01,16.625,1
DA,2017-01-01,9.0,0
DD,2017-01-01,12.75,1
DE,2017-01-01,15.409090909090908,1
DG,2017-01-01,7.5,0
DH,2017-01-01,8.125,1
DL,2017-01-01,11.636363636363635,1
DN,2017-01-01,14.0,0
DT,2017-01-01,22.16666666666667,1
DY,2017-01-01,16.0,1
E,2017-01-01,41.0,0
EC,2017-01-01,27.0,1
EH,2017-01-01,11.333333333333336,0
EN,2017-01-01,34.0,1
EX,2017-01-01,10.5,0
FK,2017-01-01,9.0,0
FY,2017-01-01,4.0,0
G,2017-01-01,25.4,0
GL,2017-01-01,13.222222222222221,1
GU,2017-01-01,15.454545454545455,1
GY,2017-01-01,,2
HA,2017-01-01,38.4,1
HD,2017-01-01,13.666666666666664,1
HG,2017-01-01,15.833333333333336,1
HP,2017-01-01,4.0,0
HR,2017-01-01,12.333333333333336,1
HS,2017-01-01,,2
HU,2017-01-01,14.5,0
HX,2017-01-01,19.33333333333333,1
IG,2017-01-01,22.25,1
IM,2017-01-01,,2
IP,2017-01-01,10.0,1
IV,2017-01-01,9.0,0
JE,2017-01-01,,2
KA,2017-01-01,20.285714285714285,1
KT,2017-01-01,19.0,1
KW,2017-01-01,9.0,1
KY,2017-01-01,9.833333333333334,1
L,2017-01-01,14.0,0
LA,2017-01-01,17.4,1
LD,2017-01-01,8.571428571428571,1
LE,2017-01-01,19.0,0
LL,2017-01-01,13.0,1
