region_id,timestamp,val_O3_max,extra_rings_O3_max
AB,2017-01-01,167.0,0
AL,2017-01-01,174.0,1
B,2017-01-01,161.0,0
BA,2017-01-01,154.0,1
BB,2017-01-01,162.0,1
BD,2017-01-01,149.0,1
BH,2017-01-01,160.0,0
BL,2017-01-01,163.0,1
BN,2017-01-01,165.5,0
BR,2017-01-01,158.0,1
BS,2017-01-01,154.0,0
BT,2017-01-01,170.33333333333334,0
CA,2017-01-01,165.5,1
CB,2017-01-01,175.0,0
CF,2017-01-01,157.0,0
CH,2017-01-01,166.0,0
CM,2017-01-01,164.5,1
CO,2017-01-01,164.0,0
CR,2017-01-01,158.0,1
CT,2017-01-01,169.0,0
CV,2017-01-01,171.33333333333334,0
CW,2017-01-01,164.0,1
DA,2017-01-01,159.0,1
DD,2017-01-01,165.5,1
DE,2017-01-01,167.5,1
DG,2017-01-01,166.0,0
DH,2017-01-01,171.0,1
DL,2017-01-01,171.0,1
DN,2017-01-01,169.33333333333334,1
DT,2017-01-01,155.5,1
DY,2017-01-01,162.66666666666666,1
E,2017-01-01,161.0,1
EC,2017-01-01,152.0,1
EH,2017-01-01,163.75,0
EN,2017-01-01,152.0,1
EX,2017-01-01,151.0,0
FK,2017-01-01,163.66666666666666,1
FY,2017-01-01,166.0,0
G,2017-01-01,163.0,0
GL,2017-01-01,166.2,1
GU,2017-01-01,159.0,1
GY,2017-01-01,,2
HA,2017-01-01,157.0,1
HD,2017-01-01,167.0,1
HG,2017-01-01,163.5,1
HP,2017-01-01,174.0,0
HR,2017-01-01,163.0,1
HS,2017-01-01,,2
HU,2017-01-01,174.0,0
HX,2017-01-01,162.14285714285714,2
IG,2017-01-01,159.0,1
IM,2017-01-01,,2
IP,2017-01-01,170.0,0
IV,2017-01-01,178.0,0
JE,2017-01-01,,2
KA,2017-01-01,164.5,1
KT,2017-01-01,157.5,2
KW,2017-01-01,178.0,1
KY,2017-01-01,163.8,1
L,2017-01-01,164.0,0
LA,2017-01-01,164.0,1
LD,2017-01-01,166.0,1
LE,2017-01-01,176.0,0
LL,2017-01-01,166.0,1
LN,2017-01-01,163.0,1
LS,2017-01-01,149.0,0
LU,2017-01-01,174.0,1
M,2017-01-01,161.5,0
ME,2017-01-01,162.66666666666666,1
MK,2017-01-01,177.0,1
ML,2017-01-01,164.0,1
N,2017-01-01,164.0,0
NE,2017-01-01,165.0,0
NG,2017-01-01,163.0,0
NN,2017-01-01,180.0,0
NP,2017-01-01,163.0,0
NR,2017-01-01,171.0,0
NW,2017-01-01,140.0,0
OL,2017-01-01,161.5,1
OX,2017-01-01,170.0,1
PA,2017-01-01,163.5,1
PE,2017-01-01,172.28571428571428,1
PH,2017-01-01,164.0,0
PL,2017-01-01,165.0,0
PO,2017-01-01,152.0,0
PR,2017-01-01,162.0,0
RG,2017-01-01,152.0,0
RH,2017-01-01,165.5,1
RM,2017-01-01,160.0,0
S,2017-01-01,167.0,0
SA,2017-01-01,172.0,0
SE,2017-01-01,158.0,0
SG,2017-01-01,175.0,1
SK,2017-01-01,164.28571428571428,1
SL,2017-01-01,163.5,1
SM,2017-01-01,150.66666666666666,2
SN,2017-01-01,153.0,1
SO,2017-01-01,160.0,0
SP,2017-01-01,157.33333333333334,1
SR,2017-01-01,178.0,0
SS,2017-01-01,159.0,0
ST,2017-01-01,168.0,0
SW,2017-01-01,150.66666666666666,1
SY,2017-01-01,170.0,1
TA,2017-01-01,152.5,1
TD,2017-01-01,164.33333333333334,1
TF,2017-01-01,168.0,1
TN,2017-01-01,166.66666666666666,1
TQ,2017-01-01,160.0,0
TR,2017-01-01,165.0,1
TS,2017-01-01,170.0,0
TW,2017-01-01,162.66666666666666,1
UB,2017-01-01,164.0,0
W,2017-01-01,160.0,0
WA,2017-01-01,158.0,0
WC,2017-01-01,134.0,0
WD,2017-01-01,160.5,1
WF,2017-01-01,165.6,1
WN,2017-01-01,167.0,0
WR,2017-01-01,167.2,1
WS,2017-01-01,166.0,0
WV,2017-01-01,167.0,1
YO,2017-01-01,178.0,0
ZE,2017-01-01,174.0,0
AB,2017-01-02,162.0,0
AL,2017-01-02,159.0,1
B,2017-01-02,142.5,0
BA,2017-01-02,134.0,1
BB,2017-01-02,152.0,1
BD,2017-01-02,169.0,1
BH,2017-01-02,144.0,0
BL,2017-01-02,143.0,1
BN,2017-01-02,162.0,0
BR,2017-01-02,143.0,1
BS,2017-01-02,134.0,0
BT,2017-01-02,154.0,0
CA,2017-01-02,160.0,1
CB,2017-01-02,153.0,0
CF,2017-01-02,152.0,0
CH,2017-01-02,154.0,0
CM,2017-01-02,149.25,1
CO,2017-01-02,147.0,0
CR,2017-01-02,143.0,1
CT,2017-01-02,156.0,0
CV,2017-01-02,159.5,0
CW,2017-01-02,154.0,1
DA,2017-01-02,144.5,1
DD,2017-01-02,167.5,1
DE,2017-01-02,152.33333333333334,1
DG,2017-01-02,168.0,0
DH,2017-01-02,157.0,1
DL,2017-01-02,155.0,1
DN,2017-01-02,154.33333333333334,1
DT,2017-01-02,141.0,1
DY,2017-01-02,144.66666666666666,1
E,2017-01-02,142.0,1
EC,2017-01-02,139.0,1
EH,2017-01-02,157.5,0
EN,2017-01-02,138.5,1
EX,2017-01-02,138.0,0
FK,2017-01-02,158.66666666666666,1
FY,2017-01-02,158.0,0
G,2017-01-02,149.0,0
GL,2017-01-02,150.25,1
GU,2017-01-02,150.2,1
GY,2017-01-02,,2
HA,2017-01-02,144.75,1
HD,2017-01-02,154.0,1
HG,2017-01-02,164.0,1
HP,2017-01-02,159.0,0
HR,2017-01-02,148.0,1
HS,2017-01-02,,2
HU,2017-01-02,160.0,0
HX,2017-01-02,150.14285714285714,2
IG,2017-01-02,144.5,1
IM,2017-01-02,,2
IP,2017-01-02,157.0,0
IV,2017-01-02,177.0,0
JE,2017-01-02,,2
KA,2017-01-02,158.5,1
KT,2017-01-02,147.0,2
KW,2017-01-02,177.0,1
KY,2017-01-02,160.6,1
L,2017-01-02,146.0,0
LA,2017-01-02,155.0,1
LD,2017-01-02,154.75,1
LE,2017-01-02,154.5,0
LL,2017-01-02,154.0,1
LN,2017-01-02,145.0,1
LS,2017-01-02,169.0,0
LU,2017-01-02,159.0,1
M,2017-01-02,134.0,0
ME,2017-01-02,151.0,1
MK,2017-01-02,158.5,1
ML,2017-01-02,157.83333333333334,1
N,2017-01-02,141.0,0
NE,2017-01-02,152.0,0
NG,2017-01-02,145.0,0
NN,2017-01-02,158.0,0
NP,2017-01-02,148.0,0
NR,2017-01-02,160.5,0
NW,2017-01-02,136.0,0
OL,2017-01-02,134.0,1
OX,2017-01-02,154.8,1
PA,2017-01-02,161.0,1
PE,2017-01-02,155.375,1
PH,2017-01-02,173.0,0
PL,2017-01-02,155.0,0
PO,2017-01-02,145.0,0
PR,2017-01-02,152.0,0
RG,2017-01-02,138.0,0
RH,2017-01-02,162.0,1
RM,2017-01-02,146.0,0
S,2017-01-02,154.0,0
SA,2017-01-02,159.5,0
SE,2017-01-02,143.0,0
SG,2017-01-02,153.0,1
SK,2017-01-02,148.28571428571428,1
SL,2017-01-02,147.75,1
SM,2017-01-02,141.66666666666666,2
SN,2017-01-02,136.0,1
SO,2017-01-02,144.0,0
SP,2017-01-02,142.0,1
SR,2017-01-02,165.0,0
SS,2017-01-02,151.0,0
ST,2017-01-02,159.0,0
SW,2017-01-02,141.66666666666666,1
SY,2017-01-02,157.66666666666666,1
TA,2017-01-02,136.0,1
TD,2017-01-02,158.33333333333334,1
TF,2017-01-02,159.0,1
TN,2017-01-02,160.0,1
TQ,2017-01-02,149.0,0
TR,2017-01-02,155.0,1
TS,2017-01-02,154.0,0
TW,2017-01-02,147.66666666666666,1
UB,2017-01-02,147.0,0
W,2017-01-02,149.0,0
WA,2017-01-02,149.0,0
WC,2017-01-02,133.0,0
