region_id,timestamp,val_O3_mean,extra_rings_O3_mean
AB,2017-01-01,69.0,0
AL,2017-01-01,67.0,1
B,2017-01-01,49.0,0
BA,2017-01-01,45.0,1
BB,2017-01-01,50.0,1
BD,2017-01-01,58.0,1
BH,2017-01-01,59.0,0
BL,2017-01-01,50.0,1
BN,2017-01-01,56.0,0
BR,2017-01-01,51.0,1
BS,2017-01-01,45.0,0
BT,2017-01-01,67.66666666666667,0
CA,2017-01-01,67.0,1
CB,2017-01-01,57.0,0
CF,2017-01-01,57.0,0
CH,2017-01-01,60.0,0
CM,2017-01-01,49.5,1
CO,2017-01-01,47.0,0
CR,2017-01-01,51.0,1
CT,2017-01-01,54.0,0
CV,2017-01-01,54.5,0
CW,2017-01-01,56.0,1
DA,2017-01-01,50.5,1
DD,2017-01-01,60.0,1
DE,2017-01-01,54.33333333333334,1
DG,2017-01-01,69.0,0
DH,2017-01-01,68.66666666666667,1
DL,2017-01-01,69.0,1
DN,2017-01-01,61.66666666666666,1
DT,2017-01-01,52.5,1
DY,2017-01-01,51.33333333333334,1
E,2017-01-01,48.5,1
EC,2017-01-01,42.333333333333336,1
EH,2017-01-01,63.0,0
EN,2017-01-01,33.5,1
EX,2017-01-01,46.0,0
FK,2017-01-01,60.33333333333334,1
FY,2017-01-01,67.0,0
G,2017-01-01,59.0,0
GL,2017-01-01,52.5,1
GU,2017-01-01,50.2,1
GY,2017-01-01,,2
HA,2017-01-01,35.75,1
HD,2017-01-01,61.0,1
HG,2017-01-01,67.0,1
HP,2017-01-01,67.0,0
HR,2017-01-01,56.0,1
HS,2017-01-01,,2
HU,2017-01-01,60.0,0
HX,2017-01-01,55.0,2
IG,2017-01-01,50.5,1
IM,2017-01-01,,2
IP,2017-01-01,51.0,0
IV,2017-01-01,74.0,0
JE,2017-01-01,,2
KA,2017-01-01,64.0,1
KT,2017-01-01,45.4,2
KW,2017-01-01,74.0,1
KY,2017-01-01,60.6,1
L,2017-01-01,56.0,0
LA,2017-01-01,58.5,1
LD,2017-01-01,62.5,1
LE,2017-01-01,51.5,0
LL,2017-01-01,60.0,1
LN,2017-01-01,51.0,1
LS,2017-01-01,58.0,0
LU,2017-01-01,67.0,1
M,2017-01-01,47.0,0
ME,2017-01-01,49.33333333333334,1
MK,2017-01-01,64.5,1
ML,2017-01-01,63.33333333333334,1
N,2017-01-01,46.0,0
NE,2017-01-01,65.0,0
NG,2017-01-01,51.0,0
NN,2017-01-01,62.0,0
NP,2017-01-01,56.0,0
NR,2017-01-01,57.5,0
NW,2017-01-01,21.0,0
OL,2017-01-01,47.0,1
OX,2017-01-01,56.2,1
PA,2017-01-01,55.0,1
PE,2017-01-01,54.875,1
PH,2017-01-01,51.0,0
PL,2017-01-01,61.0,0
PO,2017-01-01,41.0,0
PR,2017-01-01,50.0,0
RG,2017-01-01,43.0,0
RH,2017-01-01,56.0,1
RM,2017-01-01,50.0,0
S,2017-01-01,61.0,0
SA,2017-01-01,68.5,0
SE,2017-01-01,51.0,0
SG,2017-01-01,57.0,1
SK,2017-01-01,55.0,1
SL,2017-01-01,47.0,1
SM,2017-01-01,41.66666666666666,2
SN,2017-01-01,44.0,1
SO,2017-01-01,55.0,0
SP,2017-01-01,52.33333333333334,1
SR,2017-01-01,75.0,0
SS,2017-01-01,44.0,0
ST,2017-01-01,52.0,0
SW,2017-01-01,41.66666666666666,1
SY,2017-01-01,65.66666666666667,1
TA,2017-01-01,45.5,1
TD,2017-01-01,64.33333333333333,1
TF,2017-01-01,52.0,1
TN,2017-01-01,55.33333333333334,1
TQ,2017-01-01,62.0,0
TR,2017-01-01,61.0,1
TS,2017-01-01,66.0,0
TW,2017-01-01,40.66666666666666,1
UB,2017-01-01,39.0,0
W,2017-01-01,44.0,0
WA,2017-01-01,56.0,0
WC,2017-01-01,30.0,0
WD,2017-01-01,41.5,1
WF,2017-01-01,63.4,1
WN,2017-01-01,56.0,0
WR,2017-01-01,51.75,1
WS,2017-01-01,56.0,0
WV,2017-01-01,54.0,1
YO,2017-01-01,76.0,0
ZE,2017-01-01,72.0,0
AB,2017-01-02,63.0,0
AL,2017-01-02,62.0,1
B,2017-01-02,25.0,0
BA,2017-01-02,27.0,1
BB,2017-01-02,29.0,1
BD,2017-01-02,43.0,1
BH,2017-01-02,36.0,0
BL,2017-01-02,25.75,1
BN,2017-01-02,43.0,0
BR,2017-01-02,29.0,1
BS,2017-01-02,27.0,0
BT,2017-01-02,37.66666666666666,0
CA,2017-01-02,52.0,1
CB,2017-01-02,41.0,0
CF,2017-01-02,38.0,0
CH,2017-01-02,39.0,0
CM,2017-01-02,36.5,1
CO,2017-01-02,43.0,0
CR,2017-01-02,29.0,1
CT,2017-01-02,43.0,0
CV,2017-01-02,32.0,0
CW,2017-01-02,34.0,1
DA,2017-01-02,27.0,1
DD,2017-01-02,56.5,1
DE,2017-01-02,34.916666666666664,1
DG,2017-01-02,65.0,0
DH,2017-01-02,43.0,1
DL,2017-01-02,45.0,1
DN,2017-01-02,46.33333333333334,1
DT,2017-01-02,31.0,1
DY,2017-01-02,29.33333333333333,1
E,2017-01-02,30.5,1
EC,2017-01-02,26.33333333333333,1
EH,2017-01-02,51.25,0
EN,2017-01-02,27.0,1
EX,2017-01-02,26.0,0
FK,2017-01-02,48.0,1
FY,2017-01-02,54.0,0
G,2017-01-02,33.0,0
GL,2017-01-02,32.5,1
GU,2017-01-02,39.0,1
GY,2017-01-02,,2
HA,2017-01-02,28.25,1
HD,2017-01-02,48.66666666666666,1
HG,2017-01-02,52.0,1
HP,2017-01-02,62.0,0
HR,2017-01-02,39.0,1
HS,2017-01-02,,2
HU,2017-01-02,46.0,0
HX,2017-01-02,36.42857142857143,2
IG,2017-01-02,27.0,1
IM,2017-01-02,,2
IP,2017-01-02,52.0,0
IV,2017-01-02,80.0,0
JE,2017-01-02,,2
KA,2017-01-02,49.0,1
KT,2017-01-02,33.3,2
KW,2017-01-02,80.0,1
KY,2017-01-02,51.0,1
L,2017-01-02,34.0,0
LA,2017-01-02,41.5,1
LD,2017-01-02,45.5,1
LE,2017-01-02,36.0,0
LL,2017-01-02,39.0,1
LN,2017-01-02,25.0,1
LS,2017-01-02,43.0,0
LU,2017-01-02,62.0,1
M,2017-01-02,18.5,0
ME,2017-01-02,35.0,1
MK,2017-01-02,53.0,1
ML,2017-01-02,50.5,1
N,2017-01-02,32.0,0
NE,2017-01-02,39.0,0
NG,2017-01-02,25.0,0
NN,2017-01-02,44.0,0
NP,2017-01-02,39.0,0
NR,2017-01-02,52.0,0
NW,2017-01-02,22.0,0
OL,2017-01-02,18.5,1
OX,2017-01-02,40.0,1
PA,2017-01-02,41.5,1
PE,2017-01-02,42.25,1
PH,2017-01-02,50.0,0
PL,2017-01-02,45.0,0
PO,2017-01-02,36.0,0
PR,2017-01-02,29.0,0
RG,2017-01-02,30.0,0
RH,2017-01-02,43.0,1
RM,2017-01-02,25.0,0
S,2017-01-02,48.66666666666666,0
SA,2017-01-02,52.5,0
SE,2017-01-02,29.0,0
SG,2017-01-02,41.0,1
SK,2017-01-02,35.142857142857146,1
SL,2017-01-02,38.5,1
SM,2017-01-02,25.33333333333333,2
SN,2017-01-02,28.5,1
SO,2017-01-02,43.0,0
SP,2017-01-02,36.333333333333336,1
SR,2017-01-02,55.0,0
SS,2017-01-02,37.0,0
ST,2017-01-02,24.0,0
SW,2017-01-02,25.33333333333333,1
SY,2017-01-02,48.0,1
TA,2017-01-02,26.5,1
TD,2017-01-02,51.5,1
TF,2017-01-02,24.0,1
TN,2017-01-02,43.0,1
TQ,2017-01-02,50.0,0
TR,2017-01-02,45.0,1
TS,2017-01-02,35.0,0
TW,2017-01-02,30.33333333333333,1
UB,2017-01-02,31.0,0
W,2017-01-02,29.0,0
WA,2017-01-02,39.0,0
WC,2017-01-02,18.0,0
WD,2017-01-02,36.5,1
WF,2017-01-02,50.0,1
WN,2017-01-02,37.0,0
WR,2017-01-02,28.5,1
WS,2017-01-02,38.0,0
WV,2017-01-02,31.0,1
YO,2017-01-02,61.0,0
ZE,2017-01-02,82.0,0
AB,2017-01-03,70.0,0
AL,2017-01-03,68.0,1
B,2017-01-03,38.0,0
BA,2017-01-03,24.0,1
BB,2017-01-03,54.0,1
BD,2017-01-03,46.0,1
BH,2017-01-03,29.0,0
BL,2017-01-03,48.25,1
BN,2017-01-03,27.5,0
BR,2017-01-03,14.0,1
BS,2017-01-03,24.0,0
BT,2017-01-03,56.33333333333334,0
CA,2017-01-03,65.0,1
CB,2017-01-03,39.0,0
CF,2017-01-03,23.0,0
CH,2017-01-03,66.0,0
CM,2017-01-03,24.5,1
CO,2017-01-03,37.0,0
CR,2017-01-03,14.0,1
CT,2017-01-03,25.0,0
CV,2017-01-03,38.0,0
CW,2017-01-03,57.66666666666666,1
DA,2017-01-03,11.5,1
DD,2017-01-03,70.5,1
DE,2017-01-03,45.91666666666666,1
DG,2017-01-03,74.0,0
DH,2017-01-03,56.66666666666666,1
DL,2017-01-03,57.0,1
DN,2017-01-03,52.83333333333334,1
DT,2017-01-03,24.5,1
DY,2017-01-03,43.66666666666666,1
E,2017-01-03,15.5,1
EC,2017-01-03,12.333333333333336,1
EH,2017-01-03,68.25,0
EN,2017-01-03,10.0,1
EX,2017-01-03,20.0,0
FK,2017-01-03,66.16666666666667,1
FY,2017-01-03,68.0,0
G,2017-01-03,53.0,0
GL,2017-01-03,35.0,1
GU,2017-01-03,26.4,1
