region_id,timestamp,val_PM10_max,extra_rings_PM10_max
AB,2017-01-01,18.0,0
AL,2017-01-01,27.0,1
B,2017-01-01,24.0,0
BA,2017-01-01,29.0,1
BB,2017-01-01,23.2,2
BD,2017-01-01,18.0,1
BH,2017-01-01,34.0,1
BL,2017-01-01,28.0,1
BN,2017-01-01,39.5,1
BR,2017-01-01,39.0,1
BS,2017-01-01,29.0,0
BT,2017-01-01,20.2,0
CA,2017-01-01,24.0,0
CB,2017-01-01,27.0,1
CF,2017-01-01,27.0,0
CH,2017-01-01,15.0,1
CM,2017-01-01,31.66666666666667,1
CO,2017-01-01,32.0,2
CR,2017-01-01,32.0,1
CT,2017-01-01,51.0,1
CV,2017-01-01,15.5,0
CW,2017-01-01,18.5,1
DA,2017-01-01,42.333333333333336,1
DD,2017-01-01,18.0,1
DE,2017-01-01,21.33333333333333,1
DG,2017-01-01,24.0,1
DH,2017-01-01,22.0,1
DL,2017-01-01,21.0,1
DN,2017-01-01,16.0,0
DT,2017-01-01,29.57142857142857,2
DY,2017-01-01,24.0,1
E,2017-01-01,39.0,1
EC,2017-01-01,35.5,1
EH,2017-01-01,16.0,1
EN,2017-01-01,41.0,1
EX,2017-01-01,20.0,1
FK,2017-01-01,16.0,0
FY,2017-01-01,24.0,2
G,2017-01-01,18.0,0
GL,2017-01-01,24.0,1
GU,2017-01-01,36.16666666666666,1
GY,2017-01-01,,2
HA,2017-01-01,47.0,1
HD,2017-01-01,13.666666666666664,1
HG,2017-01-01,18.0,1
HP,2017-01-01,35.0,1
HR,2017-01-01,30.0,1
HS,2017-01-01,,2
HU,2017-01-01,19.0,0
HX,2017-01-01,19.0,2
IG,2017-01-01,38.0,1
IM,2017-01-01,,2
IP,2017-01-01,33.0,1
IV,2017-01-01,18.0,1
JE,2017-01-01,,2
KA,2017-01-01,15.333333333333336,1
KT,2017-01-01,25.0,1
KW,2017-01-01,18.0,2
KY,2017-01-01,16.0,1
L,2017-01-01,15.0,1
LA,2017-01-01,24.0,1
LD,2017-01-01,42.16666666666666,1
LE,2017-01-01,21.5,0
LL,2017-01-01,45.25,2
LN,2017-01-01,29.0,1
LS,2017-01-01,18.0,0
LU,2017-01-01,27.0,1
M,2017-01-01,28.0,0
ME,2017-01-01,51.0,0
MK,2017-01-01,27.0,1
ML,2017-01-01,17.333333333333332,1
N,2017-01-01,42.66666666666666,1
NE,2017-01-01,17.0,0
NG,2017-01-01,35.5,0
NN,2017-01-01,18.5,1
NP,2017-01-01,30.0,0
NR,2017-01-01,33.0,0
NW,2017-01-01,48.0,0
OL,2017-01-01,28.0,1
OX,2017-01-01,25.25,1
PA,2017-01-01,10.0,0
PE,2017-01-01,29.0,1
PH,2017-01-01,14.666666666666664,1
PL,2017-01-01,20.0,0
PO,2017-01-01,54.0,0
PR,2017-01-01,23.75,2
RG,2017-01-01,35.0,0
RH,2017-01-01,25.0,0
RM,2017-01-01,37.0,0
S,2017-01-01,13.666666666666664,0
SA,2017-01-01,55.33333333333334,0
SE,2017-01-01,39.0,0
SG,2017-01-01,27.0,0
SK,2017-01-01,19.142857142857142,1
SL,2017-01-01,35.0,1
SM,2017-01-01,40.0,2
SN,2017-01-01,33.0,1
SO,2017-01-01,34.0,0
SP,2017-01-01,34.5,1
SR,2017-01-01,22.0,1
SS,2017-01-01,31.0,0
ST,2017-01-01,22.0,0
SW,2017-01-01,43.75,1
SY,2017-01-01,55.33333333333334,1
TA,2017-01-01,29.0,1
TD,2017-01-01,20.5,1
TF,2017-01-01,22.0,1
TN,2017-01-01,38.0,1
TQ,2017-01-01,20.0,1
TR,2017-01-01,20.0,1
TS,2017-01-01,24.5,0
TW,2017-01-01,46.33333333333334,1
UB,2017-01-01,35.0,0
W,2017-01-01,52.0,0
WA,2017-01-01,15.0,0
WC,2017-01-01,32.0,0
WD,2017-01-01,43.66666666666666,1
WF,2017-01-01,16.125,1
WN,2017-01-01,23.66666666666667,1
WR,2017-01-01,19.75,1
WS,2017-01-01,23.33333333333333,1
WV,2017-01-01,22.0,1
YO,2017-01-01,18.0,0
ZE,2017-01-01,,2
AB,2017-01-02,11.0,0
AL,2017-01-02,27.0,1
B,2017-01-02,29.0,0
BA,2017-01-02,112.0,1
BB,2017-01-02,26.6,2
BD,2017-01-02,18.0,1
BH,2017-01-02,36.5,1
BL,2017-01-02,38.0,1
BN,2017-01-02,30.5,1
BR,2017-01-02,33.0,1
BS,2017-01-02,112.0,0
BT,2017-01-02,40.0,0
CA,2017-01-02,21.0,0
CB,2017-01-02,27.0,1
CF,2017-01-02,32.0,0
CH,2017-01-02,23.0,1
CM,2017-01-02,26.0,1
CO,2017-01-02,23.75,2
CR,2017-01-02,36.5,1
CT,2017-01-02,29.0,1
CV,2017-01-02,20.5,0
CW,2017-01-02,42.0,1
DA,2017-01-02,29.33333333333333,1
DD,2017-01-02,11.0,1
DE,2017-01-02,28.72727272727273,1
DG,2017-01-02,21.0,1
DH,2017-01-02,19.0,1
DL,2017-01-02,19.5,1
DN,2017-01-02,19.0,0
DT,2017-01-02,42.0,1
DY,2017-01-02,29.0,1
E,2017-01-02,33.0,1
EC,2017-01-02,28.5,1
EH,2017-01-02,10.0,1
EN,2017-01-02,31.33333333333333,1
EX,2017-01-02,42.0,0
FK,2017-01-02,10.0,0
FY,2017-01-02,21.0,2
G,2017-01-02,15.0,0
GL,2017-01-02,44.6,1
GU,2017-01-02,32.5,1
GY,2017-01-02,,2
HA,2017-01-02,33.6,1
HD,2017-01-02,20.0,1
HG,2017-01-02,18.75,1
HP,2017-01-02,30.5,1
HR,2017-01-02,35.0,1
HS,2017-01-02,,2
HU,2017-01-02,15.0,0
HX,2017-01-02,24.57142857142857,2
IG,2017-01-02,29.5,1
IM,2017-01-02,,2
IP,2017-01-02,17.0,1
IV,2017-01-02,11.0,1
JE,2017-01-02,,2
KA,2017-01-02,12.666666666666664,1
KT,2017-01-02,40.0,1
