region_id,timestamp,val_PM2.5_mean,extra_rings_PM2.5_mean
AB,2017-01-01,3.0,0
AL,2017-01-01,11.0,1
B,2017-01-01,7.666666666666668,0
BA,2017-01-01,10.0,1
BB,2017-01-01,6.0,1
BD,2017-01-01,4.5,1
BH,2017-01-01,9.0,1
BL,2017-01-01,4.25,1
BN,2017-01-01,13.0,0
BR,2017-01-01,12.0,1
BS,2017-01-01,10.0,0
BT,2017-01-01,6.5,0
CA,2017-01-01,6.0,0
CB,2017-01-01,11.0,1
CF,2017-01-01,4.0,0
CH,2017-01-01,2.0,0
CM,2017-01-01,12.666666666666664,1
CO,2017-01-01,13.0,2
CR,2017-01-01,13.0,1
CT,2017-01-01,16.0,1
CV,2017-01-01,9.333333333333334,0
CW,2017-01-01,4.0,1
DA,2017-01-01,10.0,0
DD,2017-01-01,3.0,1
DE,2017-01-01,7.636363636363638,1
DG,2017-01-01,6.0,1
DH,2017-01-01,3.4,1
DL,2017-01-01,4.285714285714286,1
DN,2017-01-01,6.0,1
DT,2017-01-01,6.0,1
DY,2017-01-01,7.666666666666668,1
E,2017-01-01,14.0,1
EC,2017-01-01,11.5,1
EH,2017-01-01,3.5,0
EN,2017-01-01,13.666666666666664,1
EX,2017-01-01,6.0,0
FK,2017-01-01,4.0,0
FY,2017-01-01,1.0,0
G,2017-01-01,2.0,0
GL,2017-01-01,8.666666666666666,1
GU,2017-01-01,11.5,1
GY,2017-01-01,,2
HA,2017-01-01,13.75,1
HD,2017-01-01,6.0,1
HG,2017-01-01,5.0,1
HP,2017-01-01,11.25,2
HR,2017-01-01,7.0,1
HS,2017-01-01,,2
HU,2017-01-01,6.0,0
HX,2017-01-01,4.571428571428571,2
IG,2017-01-01,14.0,1
IM,2017-01-01,,2
IP,2017-01-01,14.0,1
IV,2017-01-01,3.0,1
JE,2017-01-01,,2
KA,2017-01-01,2.333333333333333,1
KT,2017-01-01,12.0,1
KW,2017-01-01,3.0,2
KY,2017-01-01,3.6666666666666665,1
L,2017-01-01,3.0,0
LA,2017-01-01,4.333333333333333,1
LD,2017-01-01,6.4,1
LE,2017-01-01,9.0,0
LL,2017-01-01,2.0,1
LN,2017-01-01,7.0,1
LS,2017-01-01,4.5,0
LU,2017-01-01,11.0,1
M,2017-01-01,2.5,0
ME,2017-01-01,16.0,0
MK,2017-01-01,11.0,1
ML,2017-01-01,3.0,1
N,2017-01-01,13.0,1
NE,2017-01-01,3.0,0
NG,2017-01-01,7.0,0
NN,2017-01-01,9.25,1
NP,2017-01-01,7.0,0
NR,2017-01-01,14.0,0
NW,2017-01-01,15.0,0
OL,2017-01-01,2.5,1
OX,2017-01-01,9.333333333333334,1
PA,2017-01-01,3.0,0
PE,2017-01-01,10.25,1
PH,2017-01-01,3.333333333333333,1
PL,2017-01-01,4.5,0
PO,2017-01-01,12.0,0
PR,2017-01-01,6.0,0
RG,2017-01-01,9.0,1
RH,2017-01-01,12.0,0
RM,2017-01-01,13.4,1
S,2017-01-01,6.0,0
SA,2017-01-01,7.0,0
SE,2017-01-01,14.0,0
SG,2017-01-01,11.0,0
SK,2017-01-01,4.5,1
SL,2017-01-01,12.0,1
SM,2017-01-01,12.0,2
SN,2017-01-01,10.0,1
SO,2017-01-01,9.0,0
SP,2017-01-01,9.0,1
SR,2017-01-01,4.0,0
SS,2017-01-01,13.5,0
ST,2017-01-01,5.0,0
SW,2017-01-01,12.0,1
SY,2017-01-01,5.333333333333333,1
TA,2017-01-01,8.0,1
TD,2017-01-01,4.0,1
TF,2017-01-01,5.0,1
TN,2017-01-01,12.75,1
TQ,2017-01-01,5.0,1
TR,2017-01-01,4.5,1
TS,2017-01-01,3.333333333333333,0
TW,2017-01-01,12.5,1
UB,2017-01-01,12.0,0
W,2017-01-01,13.0,0
WA,2017-01-01,5.0,0
WC,2017-01-01,9.0,0
WD,2017-01-01,14.0,1
WF,2017-01-01,5.333333333333333,1
WN,2017-01-01,6.0,0
WR,2017-01-01,8.5,1
WS,2017-01-01,7.0,1
WV,2017-01-01,5.0,1
YO,2017-01-01,5.5,0
ZE,2017-01-01,,2
AB,2017-01-02,2.0,0
AL,2017-01-02,8.0,1
B,2017-01-02,9.666666666666666,0
BA,2017-01-02,27.0,1
BB,2017-01-02,9.0,1
BD,2017-01-02,4.5,1
BH,2017-01-02,7.0,1
BL,2017-01-02,8.5,1
BN,2017-01-02,9.0,0
BR,2017-01-02,9.0,1
BS,2017-01-02,27.0,0
BT,2017-01-02,9.5,0
CA,2017-01-02,9.0,0
CB,2017-01-02,8.0,1
CF,2017-01-02,8.0,0
CH,2017-01-02,6.0,0
CM,2017-01-02,8.666666666666666,1
CO,2017-01-02,8.25,2
CR,2017-01-02,13.0,1
CT,2017-01-02,9.0,1
CV,2017-01-02,11.0,0
CW,2017-01-02,8.333333333333334,1
DA,2017-01-02,7.0,0
DD,2017-01-02,2.0,1
DE,2017-01-02,9.545454545454543,1
DG,2017-01-02,9.0,1
DH,2017-01-02,4.2,1
DL,2017-01-02,5.7142857142857135,1
DN,2017-01-02,7.333333333333332,1
DT,2017-01-02,10.0,1
DY,2017-01-02,9.666666666666666,1
E,2017-01-02,11.0,1
EC,2017-01-02,7.5,1
EH,2017-01-02,4.0,0
EN,2017-01-02,10.333333333333334,1
EX,2017-01-02,10.0,0
FK,2017-01-02,4.0,0
FY,2017-01-02,3.0,0
G,2017-01-02,3.5,0
GL,2017-01-02,13.166666666666664,1
GU,2017-01-02,9.75,1
GY,2017-01-02,,2
HA,2017-01-02,10.25,1
HD,2017-01-02,7.0,1
HG,2017-01-02,5.75,1
HP,2017-01-02,9.875,2
HR,2017-01-02,9.5,1
HS,2017-01-02,,2
HU,2017-01-02,6.0,0
HX,2017-01-02,6.857142857142858,2
IG,2017-01-02,11.0,1
IM,2017-01-02,,2
IP,2017-01-02,7.0,1
IV,2017-01-02,2.0,1
JE,2017-01-02,,2
KA,2017-01-02,3.333333333333333,1
KT,2017-01-02,15.0,1
KW,2017-01-02,2.0,2
KY,2017-01-02,4.0,1
L,2017-01-02,6.0,0
LA,2017-01-02,7.0,1
LD,2017-01-02,10.6,1
LE,2017-01-02,8.0,0
LL,2017-01-02,6.0,1
LN,2017-01-02,10.0,1
LS,2017-01-02,4.5,0
LU,2017-01-02,8.0,1
M,2017-01-02,8.0,0
ME,2017-01-02,9.0,0
MK,2017-01-02,8.0,1
ML,2017-01-02,3.8,1
N,2017-01-02,9.0,1
NE,2017-01-02,4.0,0
NG,2017-01-02,10.0,0
NN,2017-01-02,10.25,1
NP,2017-01-02,9.5,0
NR,2017-01-02,7.0,0
NW,2017-01-02,11.5,0
OL,2017-01-02,8.0,1
OX,2017-01-02,11.0,1
PA,2017-01-02,3.0,0
PE,2017-01-02,8.25,1
PH,2017-01-02,3.0,1
PL,2017-01-02,7.0,0
PO,2017-01-02,8.0,0
PR,2017-01-02,9.0,0
RG,2017-01-02,7.0,1
RH,2017-01-02,15.0,0
RM,2017-01-02,9.0,1
S,2017-01-02,7.0,0
SA,2017-01-02,13.0,0
SE,2017-01-02,11.0,0
SG,2017-01-02,8.0,0
SK,2017-01-02,8.166666666666666,1
SL,2017-01-02,8.0,1
SM,2017-01-02,10.0,2
SN,2017-01-02,27.0,1
SO,2017-01-02,7.0,0
SP,2017-01-02,7.0,1
SR,2017-01-02,4.0,0
SS,2017-01-02,9.0,0
ST,2017-01-02,11.0,0
SW,2017-01-02,8.333333333333334,1
SY,2017-01-02,10.666666666666666,1
TA,2017-01-02,18.5,1
TD,2017-01-02,5.25,1
TF,2017-01-02,11.0,1
TN,2017-01-02,10.0,1
TQ,2017-01-02,8.0,1
TR,2017-01-02,7.0,1
TS,2017-01-02,4.333333333333333,0
TW,2017-01-02,9.0,1
UB,2017-01-02,8.0,0
W,2017-01-02,10.0,0
WA,2017-01-02,8.0,0
WC,2017-01-02,4.0,0
WD,2017-01-02,10.333333333333334,1
WF,2017-01-02,6.166666666666668,1
WN,2017-01-02,9.0,0
WR,2017-01-02,10.333333333333334,1
WS,2017-01-02,10.0,1
WV,2017-01-02,11.0,1
YO,2017-01-02,7.0,0
ZE,2017-01-02,,2
AB,2017-01-03,2.0,0
AL,2017-01-03,9.0,1
B,2017-01-03,7.0,0
BA,2017-01-03,29.0,1
BB,2017-01-03,6.0,1
BD,2017-01-03,3.0,1
BH,2017-01-03,7.0,1
BL,2017-01-03,4.5,1
BN,2017-01-03,10.0,0
