region_id,timestamp,val_Pressure.max,extra_rings_Pressure.max
AB,2017-01-01,1006.9,10
AL,2017-01-01,1019.8,2
B,2017-01-01,1006.9,3
BA,2017-01-01,1008.1,1
BB,2017-01-01,1006.9,4
BD,2017-01-01,1006.9,5
BH,2017-01-01,1008.1,1
BL,2017-01-01,1006.9,4
BN,2017-01-01,1020.9,2
BR,2017-01-01,1020.9,3
BS,2017-01-01,1008.1,2
BT,2017-01-01,,2
CA,2017-01-01,1006.9,5
CB,2017-01-01,1019.8,4
CF,2017-01-01,1006.9,3
CH,2017-01-01,1006.9,1
CM,2017-01-01,1019.8,3
CO,2017-01-01,1019.8,4
CR,2017-01-01,1020.9,2
CT,2017-01-01,1020.9,4
CV,2017-01-01,1007.7,3
CW,2017-01-01,1006.9,2
DA,2017-01-01,1020.9,3
DD,2017-01-01,1006.9,9
DE,2017-01-01,1007.7,4
DG,2017-01-01,1006.9,6
DH,2017-01-01,1006.9,6
DL,2017-01-01,1006.9,5
DN,2017-01-01,1006.9,5
DT,2017-01-01,1008.1,1
DY,2017-01-01,1006.9,2
E,2017-01-01,1020.35,3
EC,2017-01-01,1020.35,3
EH,2017-01-01,1006.9,7
EN,2017-01-01,1019.8,2
EX,2017-01-01,1008.1,2
FK,2017-01-01,1006.9,8
FY,2017-01-01,1006.9,4
G,2017-01-01,1006.9,8
GL,2017-01-01,1008.1,2
GU,2017-01-01,1020.9,1
GY,2017-01-01,,2
HA,2017-01-01,1019.8,1
HD,2017-01-01,1006.9,4
HG,2017-01-01,1006.9,6
HP,2017-01-01,1014.225,2
HR,2017-01-01,1006.9,2
HS,2017-01-01,,2
HU,2017-01-01,1006.9,6
HX,2017-01-01,1006.9,5
IG,2017-01-01,1020.35,3
IM,2017-01-01,,2
IP,2017-01-01,1014.225,5
IV,2017-01-01,1006.9,10
JE,2017-01-01,,2
KA,2017-01-01,1006.9,7
KT,2017-01-01,1020.9,1
KW,2017-01-01,1006.9,11
KY,2017-01-01,1006.9,8
L,2017-01-01,1006.9,2
LA,2017-01-01,1006.9,4
LD,2017-01-01,1006.9,2
LE,2017-01-01,1007.7,4
LL,2017-01-01,1006.9,0
LN,2017-01-01,1014.225,5
LS,2017-01-01,1006.9,6
LU,2017-01-01,1014.225,3
M,2017-01-01,1006.9,3
ME,2017-01-01,1020.9,4
MK,2017-01-01,1014.225,3
ML,2017-01-01,1006.9,7
N,2017-01-01,1020.35,3
NE,2017-01-01,1006.9,6
NG,2017-01-01,1012.76,5
NN,2017-01-01,1008.1,3
NP,2017-01-01,1007.7,3
NR,2017-01-01,1014.225,5
NW,2017-01-01,1020.35,2
OL,2017-01-01,1006.9,4
OX,2017-01-01,1008.1,2
PA,2017-01-01,1006.9,8
