region_id,timestamp,val_Pressure.mean,extra_rings_Pressure.mean
AB,2017-01-01,1000.275,10
AL,2017-01-01,1014.45,2
B,2017-01-01,1000.275,3
BA,2017-01-01,1002.64375,1
BB,2017-01-01,1000.275,4
BD,2017-01-01,1000.275,5
BH,2017-01-01,1002.64375,1
BL,2017-01-01,1000.275,4
BN,2017-01-01,1015.51666666667,2
BR,2017-01-01,1015.51666666667,3
BS,2017-01-01,1002.64375,2
BT,2017-01-01,,2
CA,2017-01-01,1000.275,5
CB,2017-01-01,1014.45,4
CF,2017-01-01,1000.275,3
CH,2017-01-01,1000.275,1
CM,2017-01-01,1014.45,3
CO,2017-01-01,1014.45,4
CR,2017-01-01,1015.51666666667,2
CT,2017-01-01,1015.51666666667,4
CV,2017-01-01,1001.8541666666665,3
CW,2017-01-01,1000.275,2
DA,2017-01-01,1015.51666666667,3
DD,2017-01-01,1000.275,9
DE,2017-01-01,1001.8541666666665,4
DG,2017-01-01,1000.275,6
DH,2017-01-01,1000.275,6
DL,2017-01-01,1000.275,5
DN,2017-01-01,1000.275,5
DT,2017-01-01,1002.64375,1
DY,2017-01-01,1000.275,2
E,2017-01-01,1014.9833333333348,3
EC,2017-01-01,1014.9833333333348,3
EH,2017-01-01,1000.275,7
EN,2017-01-01,1014.45,2
EX,2017-01-01,1002.64375,2
FK,2017-01-01,1000.275,8
FY,2017-01-01,1000.275,4
G,2017-01-01,1000.275,8
GL,2017-01-01,1002.64375,2
GU,2017-01-01,1015.51666666667,1
GY,2017-01-01,,2
HA,2017-01-01,1014.45,1
HD,2017-01-01,1000.275,4
HG,2017-01-01,1000.275,6
HP,2017-01-01,1008.8135416666673,2
HR,2017-01-01,1000.275,2
HS,2017-01-01,,2
HU,2017-01-01,1000.275,6
HX,2017-01-01,1000.275,5
IG,2017-01-01,1014.9833333333348,3
IM,2017-01-01,,2
IP,2017-01-01,1008.8135416666677,5
IV,2017-01-01,1000.275,10
JE,2017-01-01,,2
KA,2017-01-01,1000.275,7
KT,2017-01-01,1015.51666666667,1
KW,2017-01-01,1000.275,11
KY,2017-01-01,1000.275,8
L,2017-01-01,1000.275,2
LA,2017-01-01,1000.275,4
LD,2017-01-01,1000.275,2
LE,2017-01-01,1001.8541666666665,4
LL,2017-01-01,1000.275,0
LN,2017-01-01,1008.8135416666673,5
LS,2017-01-01,1000.275,6
LU,2017-01-01,1008.8135416666673,3
M,2017-01-01,1000.275,3
ME,2017-01-01,1015.51666666667,4
MK,2017-01-01,1008.8135416666673,3
ML,2017-01-01,1000.275,7
N,2017-01-01,1014.9833333333348,3
NE,2017-01-01,1000.275,6
NG,2017-01-01,1007.1058333333341,5
NN,2017-01-01,1002.64375,3
NP,2017-01-01,1001.8541666666665,3
NR,2017-01-01,1008.8135416666673,5
NW,2017-01-01,1014.9833333333348,2
OL,2017-01-01,1000.275,4
OX,2017-01-01,1002.64375,2
PA,2017-01-01,1000.275,8
PE,2017-01-01,1008.8135416666673,4
PH,2017-01-01,1000.275,9
PL,2017-01-01,1002.64375,3
PO,2017-01-01,1006.9347222222232,2
PR,2017-01-01,1000.275,3
RG,2017-01-01,1002.64375,1
RH,2017-01-01,1015.51666666667,2
RM,2017-01-01,1015.51666666667,3
S,2017-01-01,1000.275,4
SA,2017-01-01,1000.275,2
SE,2017-01-01,1015.51666666667,2
SG,2017-01-01,1014.45,3
SK,2017-01-01,1000.275,3
SL,2017-01-01,1014.9833333333348,1
SM,2017-01-01,1015.51666666667,2
SN,2017-01-01,1002.64375,1
SO,2017-01-01,1002.64375,1
SP,2017-01-01,1002.64375,0
SR,2017-01-01,1000.275,7
SS,2017-01-01,1014.9833333333348,4
ST,2017-01-01,1000.275,3
SW,2017-01-01,1015.51666666667,1
SY,2017-01-01,1000.275,1
TA,2017-01-01,1002.64375,2
TD,2017-01-01,1000.275,6
TF,2017-01-01,1000.275,2
TN,2017-01-01,1015.51666666667,3
TQ,2017-01-01,1002.64375,3
TR,2017-01-01,1002.64375,4
TS,2017-01-01,1000.275,6
TW,2017-01-01,1015.51666666667,0
UB,2017-01-01,1014.45,0
W,2017-01-01,1014.9833333333348,1
WA,2017-01-01,1000.275,2
WC,2017-01-01,1014.9833333333348,2
WD,2017-01-01,1014.45,1
WF,2017-01-01,1000.275,5
WN,2017-01-01,1000.275,3
WR,2017-01-01,1000.275,2
WS,2017-01-01,1000.275,3
WV,2017-01-01,1000.275,2
YO,2017-01-01,1000.275,6
ZE,2017-01-01,,2
AB,2017-01-02,1010.9041666666701,10
AL,2017-01-02,1024.22083333333,2
B,2017-01-02,1010.9041666666701,3
BA,2017-01-02,1012.85625,1
BB,2017-01-02,1010.9041666666701,4
BD,2017-01-02,1010.9041666666701,5
BH,2017-01-02,1012.85625,1
BL,2017-01-02,1010.9041666666701,4
BN,2017-01-02,1025.3125,2
BR,2017-01-02,1025.3125,3
BS,2017-01-02,1012.85625,2
BT,2017-01-02,,2
CA,2017-01-02,1010.9041666666701,5
CB,2017-01-02,1024.22083333333,4
CF,2017-01-02,1010.9041666666701,3
CH,2017-01-02,1010.9041666666701,1
CM,2017-01-02,1024.22083333333,3
CO,2017-01-02,1024.22083333333,4
CR,2017-01-02,1025.3125,2
CT,2017-01-02,1025.3125,4
CV,2017-01-02,1012.2055555555568,3
CW,2017-01-02,1010.9041666666701,2
DA,2017-01-02,1025.3125,3
DD,2017-01-02,1010.9041666666701,9
DE,2017-01-02,1012.2055555555568,4
DG,2017-01-02,1010.9041666666701,6
DH,2017-01-02,1010.9041666666701,6
DL,2017-01-02,1010.9041666666701,5
DN,2017-01-02,1010.9041666666701,5
DT,2017-01-02,1012.85625,1
DY,2017-01-02,1010.9041666666701,2
E,2017-01-02,1024.766666666665,3
EC,2017-01-02,1024.766666666665,3
EH,2017-01-02,1010.9041666666701,7
EN,2017-01-02,1024.22083333333,2
EX,2017-01-02,1012.85625,2
FK,2017-01-02,1010.9041666666701,8
FY,2017-01-02,1010.9041666666701,4
G,2017-01-02,1010.9041666666701,8
GL,2017-01-02,1012.85625,2
GU,2017-01-02,1025.3125,1
GY,2017-01-02,,2
HA,2017-01-02,1024.22083333333,1
HD,2017-01-02,1010.9041666666701,4
HG,2017-01-02,1010.9041666666701,6
HP,2017-01-02,1018.8114583333327,2
HR,2017-01-02,1010.9041666666701,2
HS,2017-01-02,,2
HU,2017-01-02,1010.9041666666701,6
HX,2017-01-02,1010.9041666666701,5
IG,2017-01-02,1024.766666666665,3
IM,2017-01-02,,2
IP,2017-01-02,1018.8114583333327,5
IV,2017-01-02,1010.9041666666701,10
JE,2017-01-02,,2
KA,2017-01-02,1010.9041666666701,7
KT,2017-01-02,1025.3125,1
KW,2017-01-02,1010.9041666666701,11
KY,2017-01-02,1010.9041666666701,8
L,2017-01-02,1010.9041666666701,2
LA,2017-01-02,1010.9041666666701,4
LD,2017-01-02,1010.9041666666701,2
LE,2017-01-02,1012.2055555555568,4
LL,2017-01-02,1010.9041666666701,0
LN,2017-01-02,1018.8114583333327,5
LS,2017-01-02,1010.9041666666701,6
LU,2017-01-02,1018.8114583333327,3
M,2017-01-02,1010.9041666666701,3
ME,2017-01-02,1025.3125,4
MK,2017-01-02,1018.8114583333327,3
ML,2017-01-02,1010.9041666666701,7
N,2017-01-02,1024.766666666665,3
NE,2017-01-02,1010.9041666666701,6
NG,2017-01-02,1017.23,5
NN,2017-01-02,1012.85625,3
NP,2017-01-02,1012.2055555555568,3
NR,2017-01-02,1018.8114583333327,5
NW,2017-01-02,1024.766666666665,2
OL,2017-01-02,1010.9041666666701,4
OX,2017-01-02,1012.85625,2
PA,2017-01-02,1010.9041666666701,8
PE,2017-01-02,1018.8114583333327,4
PH,2017-01-02,1010.9041666666701,9
PL,2017-01-02,1012.85625,3
PO,2017-01-02,1017.0083333333333,2
PR,2017-01-02,1010.9041666666701,3
RG,2017-01-02,1012.85625,1
RH,2017-01-02,1025.3125,2
RM,2017-01-02,1025.3125,3
S,2017-01-02,1010.9041666666701,4
SA,2017-01-02,1010.9041666666701,2
SE,2017-01-02,1025.3125,2
SG,2017-01-02,1024.22083333333,3
SK,2017-01-02,1010.9041666666701,3
SL,2017-01-02,1024.766666666665,1
SM,2017-01-02,1025.3125,2
SN,2017-01-02,1012.85625,1
SO,2017-01-02,1012.85625,1
SP,2017-01-02,1012.85625,0
SR,2017-01-02,1010.9041666666701,7
SS,2017-01-02,1024.766666666665,4
ST,2017-01-02,1010.9041666666701,3
SW,2017-01-02,1025.3125,1
SY,2017-01-02,1010.9041666666701,1
TA,2017-01-02,1012.85625,2
TD,2017-01-02,1010.9041666666701,6
TF,2017-01-02,1010.9041666666701,2
TN,2017-01-02,1025.3125,3
TQ,2017-01-02,1012.85625,3
TR,2017-01-02,1012.85625,4
TS,2017-01-02,1010.9041666666701,6
TW,2017-01-02,1025.3125,0
UB,2017-01-02,1024.22083333333,0
W,2017-01-02,1024.766666666665,1
WA,2017-01-02,1010.9041666666701,2
WC,2017-01-02,1024.766666666665,2
WD,2017-01-02,1024.22083333333,1
WF,2017-01-02,1010.9041666666701,5
WN,2017-01-02,1010.9041666666701,3
WR,2017-01-02,1010.9041666666701,2
WS,2017-01-02,1010.9041666666701,3
WV,2017-01-02,1010.9041666666701,2
YO,2017-01-02,1010.9041666666701,6
ZE,2017-01-02,,2
AB,2017-01-03,1008.24166666667,10
AL,2017-01-03,1023.79583333333,2
B,2017-01-03,1008.24166666667,3
BA,2017-01-03,1013.1625,1
BB,2017-01-03,1008.24166666667,4
BD,2017-01-03,1008.24166666667,5
BH,2017-01-03,1013.1625,1
BL,2017-01-03,1008.24166666667,4
BN,2017-01-03,1025.0125,2
BR,2017-01-03,1025.0125,3
BS,2017-01-03,1013.1625,2
BT,2017-01-03,,2
CA,2017-01-03,1008.24166666667,5
CB,2017-01-03,1023.79583333333,4
CF,2017-01-03,1008.24166666667,3
CH,2017-01-03,1008.24166666667,1
CM,2017-01-03,1023.79583333333,3
CO,2017-01-03,1023.79583333333,4
CR,2017-01-03,1025.0125,2
CT,2017-01-03,1025.0125,4
CV,2017-01-03,1011.5222222222231,3
CW,2017-01-03,1008.24166666667,2
DA,2017-01-03,1025.0125,3
DD,2017-01-03,1008.24166666667,9
DE,2017-01-03,1011.5222222222231,4
DG,2017-01-03,1008.24166666667,6
DH,2017-01-03,1008.24166666667,6
DL,2017-01-03,1008.24166666667,5
DN,2017-01-03,1008.24166666667,5
DT,2017-01-03,1013.1625,1
DY,2017-01-03,1008.24166666667,2
E,2017-01-03,1024.404166666665,3
EC,2017-01-03,1024.404166666665,3
EH,2017-01-03,1008.24166666667,7
EN,2017-01-03,1023.79583333333,2
EX,2017-01-03,1013.1625,2
FK,2017-01-03,1008.24166666667,8
FY,2017-01-03,1008.24166666667,4
G,2017-01-03,1008.24166666667,8
GL,2017-01-03,1013.1625,2
GU,2017-01-03,1025.0125,1
GY,2017-01-03,,2
HA,2017-01-03,1023.79583333333,1
HD,2017-01-03,1008.24166666667,4
HG,2017-01-03,1008.24166666667,6
HP,2017-01-03,1018.7833333333324,2
HR,2017-01-03,1008.24166666667,2
HS,2017-01-03,,2
HU,2017-01-03,1008.24166666667,6
HX,2017-01-03,1008.24166666667,5
IG,2017-01-03,1024.404166666665,3
IM,2017-01-03,,2
IP,2017-01-03,1018.7833333333324,5
IV,2017-01-03,1008.24166666667,10
JE,2017-01-03,,2
KA,2017-01-03,1008.24166666667,7
KT,2017-01-03,1025.0125,1
KW,2017-01-03,1008.24166666667,11
KY,2017-01-03,1008.24166666667,8
L,2017-01-03,1008.24166666667,2
LA,2017-01-03,1008.24166666667,4
LD,2017-01-03,1008.24166666667,2
LE,2017-01-03,1011.5222222222231,4
LL,2017-01-03,1008.24166666667,0
LN,2017-01-03,1018.7833333333324,5
LS,2017-01-03,1008.24166666667,6
LU,2017-01-03,1018.7833333333324,3
M,2017-01-03,1008.24166666667,3
ME,2017-01-03,1025.0125,4
MK,2017-01-03,1018.7833333333324,3
ML,2017-01-03,1008.24166666667,7
N,2017-01-03,1024.404166666665,3
NE,2017-01-03,1008.24166666667,6
NG,2017-01-03,1016.675,5
NN,2017-01-03,1013.1625,3
NP,2017-01-03,1011.5222222222231,3
NR,2017-01-03,1018.7833333333324,5
NW,2017-01-03,1024.404166666665,2
OL,2017-01-03,1008.24166666667,4
OX,2017-01-03,1013.1625,2
PA,2017-01-03,1008.24166666667,8
PE,2017-01-03,1018.7833333333324,4
PH,2017-01-03,1008.24166666667,9
PL,2017-01-03,1013.1625,3
PO,2017-01-03,1017.1125,2
PR,2017-01-03,1008.24166666667,3
RG,2017-01-03,1013.1625,1
RH,2017-01-03,1025.0125,2
RM,2017-01-03,1025.0125,3
S,2017-01-03,1008.24166666667,4
SA,2017-01-03,1008.24166666667,2
SE,2017-01-03,1025.0125,2
SG,2017-01-03,1023.79583333333,3
SK,2017-01-03,1008.24166666667,3
SL,2017-01-03,1024.404166666665,1
SM,2017-01-03,1025.0125,2
SN,2017-01-03,1013.1625,1
SO,2017-01-03,1013.1625,1
SP,2017-01-03,1013.1625,0
SR,2017-01-03,1008.24166666667,7
SS,2017-01-03,1024.404166666665,4
ST,2017-01-03,1008.24166666667,3
SW,2017-01-03,1025.0125,1
SY,2017-01-03,1008.24166666667,1
TA,2017-01-03,1013.1625,2
TD,2017-01-03,1008.24166666667,6
TF,2017-01-03,1008.24166666667,2
TN,2017-01-03,1025.0125,3
TQ,2017-01-03,1013.1625,3
TR,2017-01-03,1013.1625,4
TS,2017-01-03,1008.24166666667,6
TW,2017-01-03,1025.0125,0
UB,2017-01-03,1023.79583333333,0
W,2017-01-03,1024.404166666665,1
WA,2017-01-03,1008.24166666667,2
WC,2017-01-03,1024.404166666665,2
WD,2017-01-03,1023.79583333333,1
WF,2017-01-03,1008.24166666667,5
WN,2017-01-03,1008.24166666667,3
WR,2017-01-03,1008.24166666667,2
WS,2017-01-03,1008.24166666667,3
WV,2017-01-03,1008.24166666667,2
YO,2017-01-03,1008.24166666667,6
ZE,2017-01-03,,2
AB,2017-01-04,1007.41666666667,10
AL,2017-01-04,1021.4416666666701,2
B,2017-01-04,1007.41666666667,3
BA,2017-01-04,1010.8895833333348,1
BB,2017-01-04,1007.41666666667,4
BD,2017-01-04,1007.41666666667,5
BH,2017-01-04,1010.8895833333348,1
BL,2017-01-04,1007.41666666667,4
BN,2017-01-04,1022.57083333333,2
BR,2017-01-04,1022.57083333333,3
BS,2017-01-04,1010.8895833333348,2
BT,2017-01-04,,2
CA,2017-01-04,1007.41666666667,5
CB,2017-01-04,1021.4416666666701,4
CF,2017-01-04,1007.41666666667,3
CH,2017-01-04,1007.41666666667,1
CM,2017-01-04,1021.4416666666701,3
CO,2017-01-04,1021.4416666666701,4
CR,2017-01-04,1022.57083333333,2
CT,2017-01-04,1022.57083333333,4
CV,2017-01-04,1009.7319444444464,3
CW,2017-01-04,1007.41666666667,2
