"sensor_id","latitude","longitude","name"
7439,55.31184,-3.20545,"1023 [POLLEN]"
7440,55.3118,-3.2055,"1023 [WEATHER]"
7441,54.9317,-3.1577,"1066 [WEATHER]"
7442,54.6699,-2.7864,"1073 [WEATHER]"
7443,54.0138,-2.7737,"1105 [WEATHER]"
7444,52.2225,-4.0791,"11256 [WEATHER]"
7445,53.3414,-3.4107,"1141 [WEATHER]"
7446,53.0971,-3.7883,"1148 [WEATHER]"
7447,53.2907,-3.7134,"1149 [WEATHER]"
7448,53.1424,-4.1068,"1164 [WEATHER]"
7449,52.7174,-4.0138,"1173 [WEATHER]"
7450,52.9073,-3.583,"1180 [WEATHER]"
7451,52.6218,-3.8417,"1185 [WEATHER]"
7452,52.7492,-3.4687,"1191 [WEATHER]"
7453,51.7025,-5.1509,"1214 [WEATHER]"
7454,51.653,-4.9593,"1217 [WEATHER]"
7455,51.6682,-4.7068,"1222 [WEATHER]"
7456,52.0126,-4.3687,"1227 [WEATHER]"
7457,52.0252,-3.186,"1243 [WEATHER]"
7458,52.3319,-3.132,"1245 [WEATHER]"
7459,51.1303,-3.3488,"1291 [WEATHER]"
7460,51.2478,-2.733,"1304 [WEATHER]"
7461,50.9505,-2.184,"1324 [WEATHER]"
7462,50.6131,-1.9574,"1326 [WEATHER]"
7463,55.0144,-3.9962,"13298 [WEATHER]"
7464,50.2922,-3.6507,"1362 [WEATHER]"
7465,57.7115,-3.3219,"137 [WEATHER]"
7466,50.5445,-3.4937,"1371 [WEATHER]"
7467,50.6793,-3.2384,"1379 [WEATHER]"
7468,50.9085,-3.2258,"1382 [WEATHER]"
7469,50.2178,-5.3266,"1395 [WEATHER]"
7470,50.6459,-4.7543,"1412 [WEATHER]"
7471,57.6612,-2.5191,"142 [WEATHER]"
7472,57.9805,-3.9437,"14444 [WEATHER]"
7473,54.5602,-5.9398,"1475 [WEATHER]"
7474,54.4525,-6.0715,"1489 [WEATHER]"
7475,54.1268,-6.0009,"1491 [WEATHER]"
7476,54.2054,-6.0052,"1494 [WEATHER]"
7477,54.5837,-5.9088,"1501 [WEATHER]"
7478,56.5537,-2.7758,"15045 [WEATHER]"
7479,54.5649,-5.87,"1508 [WEATHER]"
7480,54.3591,-6.1955,"1509 [WEATHER]"
7481,54.3523,-6.6487,"1530 [WEATHER]"
7482,56.3442,-3.4427,"15365 [WEATHER]"
7483,54.4391,-7.9001,"1563 [WEATHER]"
7484,50.6368,-2.4244,"16612 [WEATHER]"
7485,54.6689,-2.228,"17183 [WEATHER]"
7486,56.8928,-2.5406,"17310 [WEATHER]"
7487,57.0317,-2.4024,"176 [WEATHER]"
7488,56.45699,-3.07182,"181 [POLLEN]"
7489,55.8849,-3.5447,"18985 [WEATHER]"
7490,57.5253,-3.9231,"19193 [WEATHER]"
7491,55.0473,-3.588,"19259 [WEATHER]"
7492,56.5281,-4.1105,"205 [WEATHER]"
7493,56.3382,-3.8761,"208 [WEATHER]"
7494,56.7181,-3.7683,"214 [WEATHER]"
7495,56.7482,-3.5456,"219 [WEATHER]"
7496,56.2146,-3.4112,"226 [WEATHER]"
7497,50.5168,-3.8416,"23510 [WEATHER]"
7498,51.9038,-2.3111,"24218 [WEATHER]"
7499,52.8437,1.1812,"24219 [WEATHER]"
7500,54.8079,-7.4982,"24770 [WEATHER]"
7501,54.8105,-2.4558,"24793 [WEATHER]"
7502,55.8231,-3.2263,"249 [WEATHER]"
7503,53.9754,-2.1323,"2515 [WEATHER]"
7504,59.1126,-3.2277,"25315 [WEATHER]"
7505,54.4833,-6.6191,"25353 [WEATHER]"
7506,54.935,-2.7334,"25618 [WEATHER]"
7507,55.9213,-2.6505,"262 [WEATHER]"
7508,55.7375,-2.6609,"267 [WEATHER]"
7509,53.6721,-1.5146,"2710 [WEATHER]"
7510,55.5409,-2.9046,"279 [WEATHER]"
