"site_id","latitude","longitude"
"1023 [POLLEN]",55.31184,-3.20545
"1023 [WEATHER]",55.3118,-3.2055
"1066 [WEATHER]",54.9317,-3.1577
"1073 [WEATHER]",54.6699,-2.7864
"1105 [WEATHER]",54.0138,-2.7737
"11256 [WEATHER]",52.2225,-4.0791
"1141 [WEATHER]",53.3414,-3.4107
"1148 [WEATHER]",53.0971,-3.7883
"1149 [WEATHER]",53.2907,-3.7134
"1164 [WEATHER]",53.1424,-4.1068
"1173 [WEATHER]",52.7174,-4.0138
"1180 [WEATHER]",52.9073,-3.583
"1185 [WEATHER]",52.6218,-3.8417
"1191 [WEATHER]",52.7492,-3.4687
"1214 [WEATHER]",51.7025,-5.1509
"1217 [WEATHER]",51.653,-4.9593
"1222 [WEATHER]",51.6682,-4.7068
"1227 [WEATHER]",52.0126,-4.3687
"1243 [WEATHER]",52.0252,-3.186
"1245 [WEATHER]",52.3319,-3.132
"1291 [WEATHER]",51.1303,-3.3488
"1304 [WEATHER]",51.2478,-2.733
"1324 [WEATHER]",50.9505,-2.184
"1326 [WEATHER]",50.6131,-1.9574
"13298 [WEATHER]",55.0144,-3.9962
"1362 [WEATHER]",50.2922,-3.6507
"137 [WEATHER]",57.7115,-3.3219
"1371 [WEATHER]",50.5445,-3.4937
"1379 [WEATHER]",50.6793,-3.2384
"1382 [WEATHER]",50.9085,-3.2258
"1395 [WEATHER]",50.2178,-5.3266
"1412 [WEATHER]",50.6459,-4.7543
"142 [WEATHER]",57.6612,-2.5191
"14444 [WEATHER]",57.9805,-3.9437
"1475 [WEATHER]",54.5602,-5.9398
"1489 [WEATHER]",54.4525,-6.0715
"1491 [WEATHER]",54.1268,-6.0009
"1494 [WEATHER]",54.2054,-6.0052
"1501 [WEATHER]",54.5837,-5.9088
"15045 [WEATHER]",56.5537,-2.7758
"1508 [WEATHER]",54.5649,-5.87
"1509 [WEATHER]",54.3591,-6.1955
"1530 [WEATHER]",54.3523,-6.6487
"15365 [WEATHER]",56.3442,-3.4427
"1563 [WEATHER]",54.4391,-7.9001
"16612 [WEATHER]",50.6368,-2.4244
"17183 [WEATHER]",54.6689,-2.228
"17310 [WEATHER]",56.8928,-2.5406
"176 [WEATHER]",57.0317,-2.4024
"181 [POLLEN]",56.45699,-3.07182
"18985 [WEATHER]",55.8849,-3.5447
"19193 [WEATHER]",57.5253,-3.9231
"19259 [WEATHER]",55.0473,-3.588
"205 [WEATHER]",56.5281,-4.1105
"208 [WEATHER]",56.3382,-3.8761
"214 [WEATHER]",56.7181,-3.7683
"219 [WEATHER]",56.7482,-3.5456
"226 [WEATHER]",56.2146,-3.4112
"23510 [WEATHER]",50.5168,-3.8416
"24218 [WEATHER]",51.9038,-2.3111
"24219 [WEATHER]",52.8437,1.1812
"24770 [WEATHER]",54.8079,-7.4982
"24793 [WEATHER]",54.8105,-2.4558
"249 [WEATHER]",55.8231,-3.2263
"2515 [WEATHER]",53.9754,-2.1323
"25315 [WEATHER]",59.1126,-3.2277
"25353 [WEATHER]",54.4833,-6.6191
"25618 [WEATHER]",54.935,-2.7334
"262 [WEATHER]",55.9213,-2.6505
"267 [WEATHER]",55.7375,-2.6609
"2710 [WEATHER]",53.6721,-1.5146
"279 [WEATHER]",55.5409,-2.9046
"286 [WEATHER]",55.6028,-2.467
"300 [WEATHER]",55.1542,-1.9431
"30084 [WEATHER]",50.8213,-2.7886
"30448 [WEATHER]",51.9182,-4.1002
"30747 [WEATHER]",55.7326,-2.0507
"30810 [WEATHER]",56.6207,-3.9239
"347 [WEATHER]",54.4278,-1.2159
"359 [WEATHER]",54.4807,-0.6241
"360 [WEATHER]",54.2726,-0.421
"367 [WEATHER]",54.1048,-0.6415
"38 [WEATHER]",58.3112,-4.9151
"3805 [WEATHER]",53.253,-0.0077
"386 [WEATHER]",53.0309,-0.5019
"393 [WEATHER]",53.0935,-0.1712
"403 [WEATHER]",53.1476,0.348
"439 [WEATHER]",51.9592,1.025
"454 [WEATHER]",52.1935,0.1311
"4934 [WEATHER]",52.6105,1.4848
"50 [WEATHER]",58.5613,-3.9905
"509 [WEATHER]",54.0996,-2.1623
"5100 [WEATHER]",52.1719,0.8325
"525 [WEATHER]",53.381,-1.4899
"535 [WEATHER]",53.8275,-1.1467
"539 [WEATHER]",53.2577,-1.9124
"55831 [WEATHER]",56.3079,-5.2383
"55890 [WEATHER]",57.696,-5.7759
"55896 [WEATHER]",57.5945,-4.3728
"56107 [WEATHER]",55.6148,-4.2828
"56130 [WEATHER]",55.6037,-3.3217
"56339 [WEATHER]",53.1881,-4.1047
"56423 [WEATHER]",53.0988,-1.5871
"56463 [WEATHER]",57.3374,-3.5415
"56923 [POLLEN]",51.49536,-3.21084
"56924 [POLLEN]",53.84243,-0.4252
"56928 [POLLEN]",52.05638,1.1997
"56929 [POLLEN]",50.71052,-1.29944
"56933 [POLLEN]",50.37461,-4.13725
"56952 [POLLEN]",54.58537,-5.93784
"56954 [POLLEN]",52.62155,-1.12227
"56956 [POLLEN]",51.51022,-0.11533
"56957 [POLLEN]",52.19716,-2.24165
"57070 [POLLEN]",53.19835,-2.89674
"57118 [WEATHER]",55.8254,-5.055
"57233 [WEATHER]",51.5548,-3.7201
"57263 [POLLEN]",50.73599,-3.53101
"57266 [WEATHER]",53.3983,0.189
"57267 [WEATHER]",58.015,-5.3353
"60 [WEATHER]",57.7745,-5.596
"606 [WEATHER]",51.7607,-1.2625
"609 [WEATHER]",51.669,-0.9948
"6182 [WEATHER]",51.5062,-0.6413
"61875 [WEATHER]",55.0648,-2.7137
"61908 [WEATHER]",52.5235,-2.4665
"62004 [WEATHER]",57.3207,-2.5437
"62015 [WEATHER]",54.8629,-5.0741
"56936 [POLLEN]",53.94819,-1.05194
"62031 [WEATHER]",51.6641,-0.6559
"62033 [WEATHER]",54.1643,-1.8616
"62037 [WEATHER]",54.5383,-2.5808
"62057 [WEATHER]",51.9429,-0.0896
"62076 [WEATHER]",55.1444,-4.2764
"62082 [WEATHER]",54.5131,-2.2433
"62119 [WEATHER]",52.8641,-1.5571
"62142 [WEATHER]",52.3639,-3.4739
"62149 [WEATHER]",55.3556,-4.7801
"62151 [WEATHER]",57.3192,-3.3097
"62152 [WEATHER]",52.3014,-0.8931
"628 [WEATHER]",53.0554,-1.9499
"636 [WEATHER]",52.6733,-2.8895
"638 [WEATHER]",52.7243,-2.8404
"64 [WEATHER]",57.3375,-5.6521
"671 [WEATHER]",51.9108,-2.5844
"688 [WEATHER]",51.7085,-1.9945
"708 [WEATHER]",51.4787,-0.449
"709 [WEATHER]",51.5482,-0.4153
"720 [WEATHER]",51.2603,-0.319
"7228 [WEATHER]",50.8961,0.0597
"730 [WEATHER]",51.2035,0.1362
"757 [WEATHER]",51.2965,0.8796
"7621 [WEATHER]",51.3193,-1.4778
"782 [WEATHER]",50.7813,-0.6751
"808 [WEATHER]",50.7587,0.2846
"818 [WEATHER]",50.8552,0.5716
"8231 [WEATHER]",50.9526,-3.4372
"825 [WEATHER]",51.6026,-1.1117
"830 [WEATHER]",51.4408,-0.9366
"843 [WEATHER]",50.7337,-1.8224
"844 [WEATHER]",50.8837,-1.7708
"847 [WEATHER]",51.1493,-1.5685
"855 [WEATHER]",51.0084,-1.3339
"8605 [WEATHER]",50.7104,-4.2959
"863 [WEATHER]",50.7845,-0.9846
"877 [WEATHER]",50.5922,-1.2118
"878 [WEATHER]",50.6231,-1.1794
"883 [WEATHER]",51.4307,-2.1133
"888 [WEATHER]",51.2013,-1.8044
"889 [WEATHER]",51.1613,-1.7532
"8898 [WEATHER]",50.8626,-3.8083
"9 [WEATHER]",60.1395,-1.183
"9092 [WEATHER]",50.9408,-2.8599
"915 [WEATHER]",56.0344,-5.4266
"926 [WEATHER]",56.0282,-4.9838
"9280 [WEATHER]",51.1146,-2.9208
"937 [WEATHER]",55.592,-5.153
"949 [WEATHER]",56.0481,-4.5659
"9529 [WEATHER]",51.2729,-2.4126
"954 [WEATHER]",55.9733,-4.3292
"963 [WEATHER]",56.0093,-3.6851
"980 [WEATHER]",55.786,-4.0218
"983 [WEATHER]",55.4164,-3.7583
"996 [WEATHER]",55.7227,-4.8922
"Aberdeen Union Street Roadside [AQ]",57.1453481,-2.1031362
"Aberdeen Wellington Road [AQ]",57.1197619,-2.0888228
"Aberdeen [AQ]",57.149717,-2.094278
"Armagh Roadside [AQ]",54.3350182,-6.6322009
"Aston Hill [AQ]",51.782763,-0.709176
"Auchencorth Moss [AQ]",55.792323,-3.2431028
"Ballymena Antrim Road [AQ]",54.8495084,-6.2747672
"Ballymena Ballykeel [AQ]",54.857937,-6.262428
"Barnsley Gawber [AQ]",53.561483,-1.5137529
"Barnstaple A39 [AQ]",51.0786717,-4.0541334
"Bath Roadside [AQ]",51.391127,-2.354155
"Belfast Centre [AQ]",54.597366,-5.930879
"Belfast Stockman's Lane [AQ]",54.5722824,-5.9745011
"Billingham [AQ]",54.612537,-1.290961
"Birkenhead Borough Road [AQ]",53.3756645,-3.0326453
"Birmingham A4540 Roadside [AQ]",52.4881142,-1.8846554
"Birmingham Acocks Green [AQ]",52.4455838,-1.8308359
"Birmingham Ladywood [AQ]",52.49,-1.87
"Birmingham Tyburn [AQ]",52.52368,-1.810777
"Blackburn Accrington Road [AQ]",53.7475194,-2.4484278
"Blackpool Marton [AQ]",53.8069674,-2.9970544
"Borehamwood Meadow Park [AQ]",51.6616566,-0.2694338
"Bournemouth [AQ]",50.719164,-1.880769
"Bradford Mayo Avenue [AQ]",53.7704275,-1.7567357
"Brighton Preston Park [AQ]",50.8398169,-0.1460002
"Bristol St Paul's [AQ]",51.464381,-2.578111
"Bristol Temple Way [AQ]",51.4549518,-2.5836967
"Burton-on-Trent Horninglow [AQ]",52.821815,-1.646878
"Bury Whitefield Roadside [AQ]",53.552083,-2.299201
"Bush Estate [AQ]",55.862281,-3.205782
"Cambridge Roadside [AQ]",52.20237,-0.124456
"Camden Kerbside [AQ]",51.54421,-0.175269
"Cannock A5190 Roadside [AQ]",52.6899863,-2.0245318
"Canterbury [AQ]",51.27399,1.098061
"Cardiff Centre [AQ]",51.4809229,-3.1746303
"Cardiff Newport Road [AQ]",51.5008042,-3.1400743
"Carlisle Roadside [AQ]",54.894834,-2.945307
"Charlton Mackrell [AQ]",51.058186,-2.672379
"Chatham Roadside [AQ]",51.374264,0.54797
"Chepstow A48 [AQ]",51.6416914,-2.6735695
"Chesterfield Loundsley Green [AQ]",53.2465769,-1.4593691
"Chesterfield Roadside [AQ]",53.231722,-1.456944
"Chilbolton Observatory [AQ]",51.1455014,-1.4385755
"Christchurch Barrack Road [AQ]",50.7397844,-1.7920987
"Coventry Allesley [AQ]",52.424481,-1.5664579
"Coventry Binley Road [AQ]",52.4059862,-1.466583
"Cwmbran [AQ]",51.6496546,-3.0317889
"Derby St Alkmund's Way [AQ]",52.9264471,-1.4746637
"Derry Rosemount [AQ]",55.0026809,-7.3373126
"Dewsbury Ashworth Grove [AQ]",53.6932747,-1.635757
"Doncaster A630 Cleveland Street [AQ]",53.5144731,-1.13866
"Dumbarton Roadside [AQ]",55.943197,-4.55973
"Dumfries [AQ]",55.070859,-3.60512
"Dundee Mains Loan [AQ]",56.4804488,-2.9576596
"Ealing Horn Lane [AQ]",51.5149208,-0.2687703
"Eastbourne [AQ]",50.768035,0.290472
"Edinburgh Nicolson Street [AQ]",55.9455007,-3.1845747
"Edinburgh St Leonards [AQ]",55.942928,-3.1790646
"Eskdalemuir [AQ]",55.2677887,-3.1757396
"Exeter Roadside [AQ]",50.725083,-3.532465
"Fort William [AQ]",56.819817,-5.1052179
"Glasgow Great Western Road [AQ]",55.8916676,-4.3296934
"Glasgow High Street [AQ]",55.8593215,-4.2410231
"Glasgow Kerbside [AQ]",55.8857344,-4.2405865
"Glasgow Townhead [AQ]",55.8657542,-4.23125
"Glazebury [AQ]",53.4614737,-2.5132896
"Grangemouth Moray [AQ]",56.0129403,-3.7121576
"Grangemouth [AQ]",56.0097152,-3.7227698
"Greenock A8 Roadside [AQ]",55.956476,-4.771983
"Hafod-yr-ynys Roadside [AQ]",51.683515,-3.118772
"Haringey Roadside [AQ]",51.5906113,-0.1109709
"Hartlepool St Abbs Walk [AQ]",54.683242,-1.203838
"High Muffles [AQ]",54.3343453,-0.80603
"Honiton [AQ]",50.799468,-3.188683
"Horley [AQ]",51.173516,-0.172109
"Hull Freetown [AQ]",53.7446117,-0.3352744
